country,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Afghanistan,11/03/2020,nowcast,1.9,1.3,2.5,1.7,2.2,0
Afghanistan,12/03/2020,nowcast,1.9,1.3,2.5,1.6,2.1,0
Afghanistan,13/03/2020,nowcast,1.9,1.3,2.4,1.6,2,0
Afghanistan,14/03/2020,nowcast,1.8,1.4,2.4,1.6,2,0
Afghanistan,15/03/2020,nowcast,1.8,1.4,2.3,1.7,2,0
Afghanistan,16/03/2020,nowcast,1.9,1.4,2.3,1.7,2,0
Afghanistan,17/03/2020,nowcast,1.8,1.4,2.2,1.7,2,0
Afghanistan,18/03/2020,nowcast,1.8,1.4,2.2,1.6,2,0
Afghanistan,19/03/2020,nowcast,1.8,1.4,2.1,1.6,1.9,0
Afghanistan,20/03/2020,nowcast,1.7,1.3,2.1,1.6,1.8,0
Afghanistan,21/03/2020,nowcast,1.7,1.3,2,1.5,1.8,0
Afghanistan,22/03/2020,nowcast,1.6,1.3,1.9,1.5,1.7,0
Afghanistan,23/03/2020,nowcast,1.6,1.3,1.9,1.4,1.7,0
Afghanistan,24/03/2020,nowcast,1.5,1.3,1.8,1.4,1.6,0
Afghanistan,25/03/2020,nowcast,1.5,1.2,1.7,1.4,1.6,0
Afghanistan,26/03/2020,nowcast,1.5,1.2,1.7,1.3,1.5,0
Afghanistan,27/03/2020,nowcast,1.4,1.2,1.7,1.3,1.5,0
Afghanistan,28/03/2020,nowcast,1.4,1.2,1.6,1.3,1.5,0
Afghanistan,29/03/2020,nowcast,1.4,1.2,1.6,1.3,1.4,0
Afghanistan,30/03/2020,nowcast,1.4,1.2,1.5,1.3,1.4,0
Afghanistan,31/03/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,01/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,02/04/2020,nowcast,1.3,1.1,1.5,1.2,1.4,0
Afghanistan,03/04/2020,nowcast,1.3,1.1,1.5,1.2,1.4,0
Afghanistan,04/04/2020,nowcast,1.3,1.1,1.4,1.2,1.3,0
Afghanistan,05/04/2020,nowcast,1.3,1.1,1.4,1.2,1.3,0
Afghanistan,06/04/2020,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,07/04/2020,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,08/04/2020,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,09/04/2020,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,10/04/2020,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,11/04/2020,nowcast,1.2,1.1,1.4,1.2,1.3,0
Afghanistan,12/04/2020,nowcast,1.3,1.1,1.4,1.2,1.3,0
Afghanistan,13/04/2020,nowcast,1.3,1.2,1.4,1.2,1.3,0
Afghanistan,14/04/2020,nowcast,1.3,1.2,1.4,1.2,1.3,0
Afghanistan,15/04/2020,nowcast,1.3,1.2,1.4,1.3,1.4,0
Afghanistan,16/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,17/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,18/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,19/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,20/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,21/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,22/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,23/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,24/04/2020,nowcast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,25/04/2020,forecast,1.3,1.2,1.5,1.3,1.4,0
Afghanistan,26/04/2020,forecast,1.3,1.1,1.5,1.2,1.4,0
Afghanistan,27/04/2020,forecast,1.3,1.1,1.5,1.2,1.4,0.01
Afghanistan,28/04/2020,forecast,1.3,1.1,1.5,1.2,1.4,0.01
Afghanistan,29/04/2020,forecast,1.3,1.1,1.5,1.2,1.4,0.02
Afghanistan,30/04/2020,forecast,1.3,1.1,1.5,1.2,1.4,0.02
Afghanistan,01/05/2020,forecast,1.3,1.1,1.6,1.2,1.4,0.03
Afghanistan,02/05/2020,forecast,1.3,1,1.6,1.2,1.4,0.04
Afghanistan,03/05/2020,forecast,1.3,1,1.6,1.2,1.4,0.05
Afghanistan,04/05/2020,forecast,1.3,1,1.6,1.2,1.4,0.06
Afghanistan,05/05/2020,forecast,1.3,1,1.6,1.2,1.4,0.07
Afghanistan,06/05/2020,forecast,1.3,0.9,1.6,1.1,1.4,0.08
Afghanistan,07/05/2020,forecast,1.3,0.9,1.6,1.1,1.4,0.09
Afghanistan,08/05/2020,forecast,1.3,0.9,1.7,1.1,1.4,0.1
Algeria,29/02/2020,nowcast,2,1.2,2.7,1.6,2.2,0.01
Algeria,01/03/2020,nowcast,1.9,1.3,2.7,1.6,2.2,0.01
Algeria,02/03/2020,nowcast,1.9,1.3,2.6,1.6,2.1,0
Algeria,03/03/2020,nowcast,1.9,1.3,2.5,1.7,2.1,0
