date,state,city,place_type,confirmed,deaths
19/04/2020,MG,Abaeté,city,1,0
19/04/2020,MG,Alfenas,city,2,0
19/04/2020,MG,Almenara,city,2,0
19/04/2020,MG,Alpercata,city,1,0
19/04/2020,MG,Araguari,city,7,0
19/04/2020,MG,Araxá,city,3,0
19/04/2020,MG,Arceburgo,city,1,0
19/04/2020,MG,Arcos,city,7,0
19/04/2020,MG,Barbacena,city,3,0
19/04/2020,MG,Belmiro Braga,city,1,1
19/04/2020,MG,Belo Horizonte,city,448,8
19/04/2020,MG,Betim,city,9,0
19/04/2020,MG,Boa Esperança,city,6,0
19/04/2020,MG,Bom Despacho,city,1,0
19/04/2020,MG,Bonfim,city,1,1
19/04/2020,MG,Borda da Mata,city,2,0
19/04/2020,MG,Botelhos,city,1,0
19/04/2020,MG,Caeté,city,1,0
19/04/2020,MG,Camanducaia,city,2,0
19/04/2020,MG,Cambuí,city,7,0
19/04/2020,MG,Cambuquira,city,1,0
19/04/2020,MG,Campo Belo,city,3,0
19/04/2020,MG,Campos Altos,city,1,0
19/04/2020,MG,Campos Gerais,city,1,0
19/04/2020,MG,Capitólio,city,1,0
19/04/2020,MG,Carangola,city,1,0
19/04/2020,MG,Carlos Chagas,city,1,0
19/04/2020,MG,Carmo da Cachoeira,city,1,0
19/04/2020,MG,Carmo do Cajuru,city,2,0
19/04/2020,MG,Cataguases,city,3,0
19/04/2020,MG,Centralina,city,1,0
19/04/2020,MG,Conceição das Alagoas,city,2,0
19/04/2020,MG,Conselheiro Lafaiete,city,11,0
19/04/2020,MG,Contagem,city,35,0
19/04/2020,MG,Coromandel,city,2,0
19/04/2020,MG,Coronel Fabriciano,city,6,0
19/04/2020,MG,Divinésia,city,1,0
19/04/2020,MG,Divinópolis,city,37,1
19/04/2020,MG,Esmeraldas,city,1,0
19/04/2020,MG,Espera Feliz,city,2,0
19/04/2020,MG,Espinosa,city,0,0
19/04/2020,MG,Extrema,city,13,0
19/04/2020,MG,Ferros,city,3,0
19/04/2020,MG,Formiga,city,2,0
19/04/2020,MG,Frutal,city,2,0
19/04/2020,MG,Goianá,city,3,0
19/04/2020,MG,Governador Valadares,city,6,2
19/04/2020,MG,Guaranésia,city,1,0
19/04/2020,MG,Guaxupé,city,1,0
19/04/2020,MG,Guimarânia,city,1,0
19/04/2020,MG,Ibirité,city,4,0
19/04/2020,MG,Importados/Indefinidos,city,12,0
19/04/2020,MG,Ipaba,city,2,0
19/04/2020,MG,Ipatinga,city,6,0
19/04/2020,MG,Ipuiúna,city,1,0
19/04/2020,MG,Itabira,city,6,1
19/04/2020,MG,Itaguara,city,1,0
19/04/2020,MG,Itajubá,city,2,0
19/04/2020,MG,Itanhandu,city,3,0
19/04/2020,MG,Itaobim,city,1,0
19/04/2020,MG,Itapecerica,city,3,0
19/04/2020,MG,Itapeva,city,1,0
19/04/2020,MG,Itaúna,city,1,0
19/04/2020,MG,Ituiutaba,city,1,0
19/04/2020,MG,Jaboticatubas,city,1,0
19/04/2020,MG,Janaúba,city,4,0
19/04/2020,MG,Jeceaba,city,1,0
19/04/2020,MG,João Monlevade,city,1,0
19/04/2020,MG,Juiz de Fora,city,95,2
19/04/2020,MG,Lagoa da Prata,city,14,0
19/04/2020,MG,Lagoa Santa,city,2,0
19/04/2020,MG,Lavras,city,6,0
19/04/2020,MG,Leopoldina,city,1,0
19/04/2020,MG,Machado,city,2,0
19/04/2020,MG,Manhuaçu,city,3,0
19/04/2020,MG,Mariana,city,8,1
19/04/2020,MG,Mário Campos,city,1,0
19/04/2020,MG,Marliéria,city,1,0
19/04/2020,MG,Matias Barbosa,city,0,0
19/04/2020,MG,Matozinhos,city,1,0
19/04/2020,MG,Monte Azul,city,1,0
19/04/2020,MG,Monte Carmelo,city,5,0
19/04/2020,MG,Montes Claros,city,5,1
19/04/2020,MG,Munhoz,city,3,0
19/04/2020,MG,Muriaé,city,5,0
19/04/2020,MG,Nanuque,city,2,1
19/04/2020,MG,Nazareno,city,1,0
19/04/2020,MG,Nova Lima,city,46,0
19/04/2020,MG,Nova Serrana,city,1,1
19/04/2020,MG,Novo Cruzeiro,city,1,0
19/04/2020,MG,Ouro Fino,city,1,1
19/04/2020,MG,Paracatu,city,8,0
19/04/2020,MG,Pará de Minas,city,5,0
19/04/2020,MG,Paraisópolis,city,4,2
19/04/2020,MG,Passos,city,1,0
19/04/2020,MG,Patos de Minas,city,12,1
19/04/2020,MG,Patrocínio,city,9,1
19/04/2020,MG,Perdões,city,1,0
19/04/2020,MG,Pirapetinga,city,1,0
19/04/2020,MG,Pirapora,city,2,0
19/04/2020,MG,Piumhi,city,2,1
19/04/2020,MG,Poços de Caldas,city,8,1
19/04/2020,MG,Pouso Alegre,city,19,2
19/04/2020,MG,Ribeirão das Neves,city,2,0
19/04/2020,MG,Sabará,city,8,0
19/04/2020,MG,Santa Luzia,city,4,0
19/04/2020,MG,Santa Maria de Itabira,city,1,0
19/04/2020,MG,Santana do Paraíso,city,1,0
19/04/2020,MG,Santo Antônio do Monte,city,3,0
19/04/2020,MG,Santos Dumont,city,1,0
19/04/2020,MG,São Brás do Suaçuí,city,1,0
19/04/2020,MG,São Gotardo,city,2,0
19/04/2020,MG,São João del Rei,city,4,0
19/04/2020,MG,São João Nepomuceno,city,1,0
19/04/2020,MG,São Lourenço,city,2,0
19/04/2020,MG,São Sebastião do Paraíso,city,2,1
19/04/2020,MG,São Tomás de Aquino,city,2,1
19/04/2020,MG,Sarzedo,city,1,0
19/04/2020,MG,Senador Amaral,city,4,0
19/04/2020,MG,Serra do Salitre,city,1,0
19/04/2020,MG,Sete Lagoas,city,6,0
19/04/2020,MG,Sobrália,city,1,0
19/04/2020,MG,Timóteo,city,8,0
19/04/2020,MG,Toledo,city,3,0
19/04/2020,MG,Três Pontas,city,2,1
19/04/2020,MG,Ubá,city,4,0
19/04/2020,MG,Uberaba,city,22,2
19/04/2020,MG,Uberlândia,city,71,4
19/04/2020,MG,Unaí,city,2,0
19/04/2020,MG,Varginha,city,11,1
19/04/2020,MG,Varzelândia,city,1,0
19/04/2020,MG,Vazante,city,2,0
19/04/2020,MG,Vespasiano,city,1,0
19/04/2020,MG,Viçosa,city,1,0
17/03/2020,AC,,state,3,0
19/04/2020,PB,Bayeux,city,8,1
19/04/2020,PB,Cabedelo,city,9,2
19/04/2020,PB,Campina Grande,city,12,2
19/04/2020,PB,Congo,city,1,0
19/04/2020,PB,Igaracy,city,1,0
19/04/2020,PB,João Pessoa,city,172,19
19/04/2020,PB,Junco do Seridó,city,3,1
19/04/2020,PB,Patos,city,8,2
19/04/2020,PB,Pombal,city,2,0
19/04/2020,PB,Queimadas,city,1,0
19/04/2020,PB,Riachão do Poço,city,1,1
19/04/2020,PB,Santa Rita,city,20,2
19/04/2020,PB,São Bento,city,1,0
19/04/2020,PB,São João do Rio do Peixe,city,1,0
19/04/2020,PB,Sapé,city,2,1
19/04/2020,PB,Serra Branca,city,1,0
19/04/2020,PB,Sousa,city,1,0
19/04/2020,PB,Taperoá,city,1,1
18/03/2020,AC,,state,3,0
19/04/2020,RJ,Angra dos Reis,city,8,0
19/04/2020,RJ,Araruama,city,18,1
19/04/2020,RJ,Areal,city,1,0
19/04/2020,RJ,Armação dos Búzios,city,4,0
19/04/2020,RJ,Arraial do Cabo,city,3,1
19/04/2020,RJ,Barra do Piraí,city,10,2
19/04/2020,RJ,Barra Mansa,city,14,1
19/04/2020,RJ,Belford Roxo,city,69,7
19/04/2020,RJ,Bom Jardim,city,4,1
19/04/2020,RJ,Bom Jesus do Itabapoana,city,5,1
19/04/2020,RJ,Cabo Frio,city,10,0
19/04/2020,RJ,Cachoeiras de Macacu,city,4,1
19/04/2020,RJ,Campos dos Goytacazes,city,7,1
19/04/2020,RJ,Cantagalo,city,1,0
19/04/2020,RJ,Carapebus,city,1,0
19/04/2020,RJ,Casimiro de Abreu,city,11,0
19/04/2020,RJ,Duque de Caxias,city,182,35
19/04/2020,RJ,Guapimirim,city,3,0
19/04/2020,RJ,Iguaba Grande,city,6,2
19/04/2020,RJ,Importados/Indefinidos,city,0,0
19/04/2020,RJ,Itaboraí,city,42,6
19/04/2020,RJ,Itaguaí,city,8,2
19/04/2020,RJ,Itaperuna,city,3,0
19/04/2020,RJ,Itatiaia,city,1,0
19/04/2020,RJ,Japeri,city,5,1
19/04/2020,RJ,Macaé,city,19,4
19/04/2020,RJ,Magé,city,33,3
19/04/2020,RJ,Mangaratiba,city,5,2
19/04/2020,RJ,Maricá,city,38,4
19/04/2020,RJ,Mendes,city,1,0
19/04/2020,RJ,Mesquita,city,59,7
19/04/2020,RJ,Miguel Pereira,city,5,1
19/04/2020,RJ,Nilópolis,city,26,0
19/04/2020,RJ,Niterói,city,212,14
19/04/2020,RJ,Nova Friburgo,city,29,1
19/04/2020,RJ,Nova Iguaçu,city,171,13
19/04/2020,RJ,Paracambi,city,8,0
19/04/2020,RJ,Paraíba do Sul,city,3,0
19/04/2020,RJ,Paraty,city,4,1
19/04/2020,RJ,Paty do Alferes,city,2,0
19/04/2020,RJ,Petrópolis,city,67,6
19/04/2020,RJ,Pinheiral,city,1,0
19/04/2020,RJ,Piraí,city,2,0
19/04/2020,RJ,Porciúncula,city,1,0
19/04/2020,RJ,Porto Real,city,2,0
19/04/2020,RJ,Quatis,city,2,0
19/04/2020,RJ,Queimados,city,15,1
19/04/2020,RJ,Quissamã,city,3,0
19/04/2020,RJ,Resende,city,12,2
19/04/2020,RJ,Rio Bonito,city,6,2
19/04/2020,RJ,Rio das Flores,city,1,0
19/04/2020,RJ,Rio das Ostras,city,13,4
19/04/2020,RJ,Rio de Janeiro,city,3126,245
19/04/2020,RJ,São Fidélis,city,3,0
19/04/2020,RJ,São Francisco de Itabapoana,city,2,1
19/04/2020,RJ,São Gonçalo,city,105,7
19/04/2020,RJ,São João da Barra,city,1,0
19/04/2020,RJ,São João de Meriti,city,80,8
19/04/2020,RJ,São Pedro da Aldeia,city,12,2
19/04/2020,RJ,Sapucaia,city,3,2
19/04/2020,RJ,Saquarema,city,3,0
19/04/2020,RJ,Seropédica,city,4,0
19/04/2020,RJ,Silva Jardim,city,1,0
19/04/2020,RJ,Tanguá,city,5,3
19/04/2020,RJ,Teresópolis,city,17,1
19/04/2020,RJ,Trajano de Moraes,city,0,0
19/04/2020,RJ,Três Rios,city,5,0
19/04/2020,RJ,Valença,city,2,0
19/04/2020,RJ,Volta Redonda,city,146,6
19/03/2020,AC,,state,4,0
19/04/2020,RS,Ajuricaba,city,1,0
19/04/2020,RS,Alegrete,city,1,0
19/04/2020,RS,Alvorada,city,7,1
19/04/2020,RS,Anta Gorda,city,2,0
19/04/2020,RS,Arroio do Meio,city,1,0
19/04/2020,RS,Arroio do Sal,city,2,1
19/04/2020,RS,Arroio dos Ratos,city,3,0
19/04/2020,RS,Bagé,city,29,0
19/04/2020,RS,Bento Gonçalves,city,13,0
19/04/2020,RS,Bom Retiro do Sul,city,1,0
19/04/2020,RS,Cachoeira do Sul,city,2,0
19/04/2020,RS,Cachoeirinha,city,9,0
19/04/2020,RS,Camaquã,city,0,0
19/04/2020,RS,Campo Bom,city,4,0
19/04/2020,RS,Candelária,city,1,0
19/04/2020,RS,Canguçu,city,1,0
19/04/2020,RS,Canoas,city,18,1
19/04/2020,RS,Capão da Canoa,city,6,0
19/04/2020,RS,Capão do Leão,city,1,0
19/04/2020,RS,Carazinho,city,1,0
19/04/2020,RS,Carlos Barbosa,city,2,0
19/04/2020,RS,Caxias do Sul,city,42,0
19/04/2020,RS,Cerro Grande do Sul,city,1,0
19/04/2020,RS,Chapada,city,1,0
19/04/2020,RS,Charqueadas,city,1,0
19/04/2020,RS,Cidreira,city,2,1
19/04/2020,RS,Cruzeiro do Sul,city,2,0
19/04/2020,RS,Dois Irmãos,city,2,0
19/04/2020,RS,Dom Pedrito,city,1,0
19/04/2020,RS,Eldorado do Sul,city,1,0
19/04/2020,RS,Encantado,city,2,0
19/04/2020,RS,Encruzilhada do Sul,city,2,1
19/04/2020,RS,Erechim,city,4,0
19/04/2020,RS,Espumoso,city,1,0
19/04/2020,RS,Estância Velha,city,3,0
19/04/2020,RS,Esteio,city,5,0
19/04/2020,RS,Estrela,city,3,0
19/04/2020,RS,Farroupilha,city,7,0
19/04/2020,RS,Flores da Cunha,city,1,0
19/04/2020,RS,Garibaldi,city,3,0
19/04/2020,RS,Glorinha,city,1,0
19/04/2020,RS,Gravataí,city,15,0
19/04/2020,RS,Guaíba,city,2,0
19/04/2020,RS,Harmonia,city,4,0
19/04/2020,RS,Ibirapuitã,city,1,0
19/04/2020,RS,Imbé,city,1,0
19/04/2020,RS,Ivoti,city,4,1
19/04/2020,RS,Lajeado,city,23,0
19/04/2020,RS,Marau,city,22,1
19/04/2020,RS,Minas do Leão,city,2,0
19/04/2020,RS,Montenegro,city,3,0
19/04/2020,RS,Muçum,city,1,0
19/04/2020,RS,Não-Me-Toque,city,3,0
19/04/2020,RS,Nicolau Vergueiro,city,1,0
19/04/2020,RS,Nova Palma,city,1,0
19/04/2020,RS,Novo Hamburgo,city,26,2
19/04/2020,RS,Osório,city,2,0
19/04/2020,RS,Paraí,city,2,0
19/04/2020,RS,Pareci Novo,city,1,0
19/04/2020,RS,Passo Fundo,city,43,4
19/04/2020,RS,Pelotas,city,12,0
19/04/2020,RS,Piratini,city,1,0
19/04/2020,RS,Porto Alegre,city,374,9
19/04/2020,RS,Rio Grande,city,4,0
19/04/2020,RS,Rio Pardo,city,1,0
19/04/2020,RS,Rolante,city,1,0
19/04/2020,RS,Sananduva,city,2,0
19/04/2020,RS,Santa Cruz do Sul,city,1,0
19/04/2020,RS,Santa Maria,city,18,0
19/04/2020,RS,Sant'Ana do Livramento,city,7,0
19/04/2020,RS,Santa Rosa,city,4,0
19/04/2020,RS,Santiago,city,1,0
19/04/2020,RS,Santo Antônio da Patrulha,city,2,0
19/04/2020,RS,Santo Cristo,city,1,0
19/04/2020,RS,São Domingos do Sul,city,3,0
19/04/2020,RS,São Gabriel,city,1,0
19/04/2020,RS,São Jorge,city,2,0
19/04/2020,RS,São Leopoldo,city,19,1
19/04/2020,RS,São Lourenço do Sul,city,1,0
19/04/2020,RS,São Sebastião do Caí,city,2,0
19/04/2020,RS,Sapiranga,city,2,0
19/04/2020,RS,Sapucaia do Sul,city,5,0
19/04/2020,RS,Sarandi,city,1,0
19/04/2020,RS,Serafina Corrêa,city,7,1
19/04/2020,RS,Soledade,city,1,0
19/04/2020,RS,Tabaí,city,4,0
19/04/2020,RS,Taquara,city,1,0
19/04/2020,RS,Taquari,city,5,0
19/04/2020,RS,Teutônia,city,1,0
19/04/2020,RS,Tio Hugo,city,1,1
19/04/2020,RS,Torres,city,9,0
19/04/2020,RS,Tramandaí,city,1,0
19/04/2020,RS,Tupandi,city,1,0
19/04/2020,RS,Uruguaiana,city,3,0
19/04/2020,RS,Vacaria,city,3,1
19/04/2020,RS,Venâncio Aires,city,3,0
19/04/2020,RS,Veranópolis,city,1,0
19/04/2020,RS,Viamão,city,15,0
19/04/2020,RS,Vila Maria,city,1,0
20/03/2020,AC,,state,7,0
18/04/2020,AC,Acrelândia,city,12,0
18/04/2020,AC,Bujari,city,1,0
18/04/2020,AC,Cruzeiro do Sul,city,2,0
18/04/2020,AC,Plácido de Castro,city,14,1
18/04/2020,AC,Porto Acre,city,1,0
18/04/2020,AC,Rio Branco,city,112,5
21/03/2020,AC,,state,11,0
18/04/2020,AL,Arapiraca,city,1,0
18/04/2020,AL,Boca da Mata,city,1,0
18/04/2020,AL,Importados/Indefinidos,city,8,2
18/04/2020,AL,Maceió,city,107,6
18/04/2020,AL,Marechal Deodoro,city,5,1
18/04/2020,AL,Palmeira dos Índios,city,1,0
18/04/2020,AL,Porto Real do Colégio,city,1,0
18/04/2020,AL,Rio Largo,city,4,0
18/04/2020,AL,São Miguel dos Milagres,city,1,1
18/04/2020,AL,Satuba,city,1,0
18/04/2020,AL,União dos Palmares,city,1,0
18/04/2020,AL,Viçosa,city,1,0
22/03/2020,AC,,state,11,0
18/04/2020,AM,Anamã,city,1,0
18/04/2020,AM,Anori,city,6,0
18/04/2020,AM,Boca do Acre,city,1,0
18/04/2020,AM,Carauari,city,1,1
18/04/2020,AM,Careiro,city,6,1
18/04/2020,AM,Careiro da Várzea,city,4,0
18/04/2020,AM,Coari,city,2,0
18/04/2020,AM,Iranduba,city,21,3
18/04/2020,AM,Itacoatiara,city,15,1
18/04/2020,AM,Jutaí,city,1,0
18/04/2020,AM,Lábrea,city,2,0
18/04/2020,AM,Manacapuru,city,177,10
18/04/2020,AM,Manaus,city,1593,134
18/04/2020,AM,Manicoré,city,1,1
18/04/2020,AM,Maués,city,4,2
