n,a,b,c,d,e
1,1.880725191,2.101145038,2.355916031,TRUE,TRUE
2,1.707061069,1.919847328,2.153625954,TRUE,TRUE
3,1.519083969,1.719465649,1.939885496,TRUE,TRUE
4,1.369274809,1.551526718,1.760496183,TRUE,TRUE
5,1.232824427,1.395992366,1.591603053,TRUE,TRUE
6,1.144083969,1.294847328,1.45610687,TRUE,TRUE
7,1.117366412,1.257633588,1.416984733,TRUE,TRUE
8,1.114503817,1.264312977,1.421755725,TRUE,TRUE
9,1.129770992,1.280534351,1.440839695,TRUE,TRUE
10,1.141221374,1.286259542,1.461832061,TRUE,TRUE
11,1.135496183,1.275763359,1.437977099,TRUE,TRUE
12,1.098282443,1.232824427,1.382633588,TRUE,TRUE
13,1.045801527,1.182251908,1.326335878,TRUE,TRUE
14,0.995229008,1.131679389,1.265267176,TRUE,TRUE
15,0.940839695,1.069656489,1.199427481,TRUE,TRUE
16,0.877862595,1.004770992,1.126908397,TRUE,TRUE
17,0.812977099,0.929389313,1.054389313,TRUE,TRUE
18,0.749045802,0.858778626,0.978053435,TRUE,TRUE
19,0.672709924,0.791030534,0.901717557,TRUE,TRUE
20,0.597328244,0.708015267,0.81870229,TRUE,TRUE
21,0.558206107,0.659351145,0.770038168,TRUE,TRUE
22,0.517175573,0.617366412,0.734732824,TRUE,TRUE
23,0.480916031,0.583969466,0.705152672,TRUE,TRUE
24,0.459923664,0.564885496,0.687022901,TRUE,TRUE
25,0.438931298,0.550572519,0.675572519,TRUE,TRUE
26,0.420801527,0.532442748,0.650763359,TRUE,TRUE
27,0.403625954,0.514312977,0.633587786,TRUE,TRUE
28,0.410305344,0.519083969,0.650763359,TRUE,TRUE
29,0.417938931,0.53721374,0.666984733,TRUE,TRUE
30,0.428435115,0.555343511,0.696564885,TRUE,TRUE
31,0.458015267,0.590648855,0.733778626,TRUE,TRUE
32,0.48759542,0.625,0.768129771,TRUE,TRUE
33,0.519083969,0.661259542,0.821564885,TRUE,TRUE
34,0.533396947,0.676526718,0.845419847,TRUE,TRUE
35,0.54389313,0.699427481,0.872137405,TRUE,TRUE
36,0.55629771,0.724236641,0.913167939,TRUE,TRUE
37,0.559160305,0.733778626,0.928435115,TRUE,TRUE
38,0.561068702,0.730916031,0.908396947,TRUE,TRUE
39,0.539122137,0.711832061,0.888358779,TRUE,TRUE
40,0.505725191,0.689885496,0.868320611,TRUE,TRUE
41,0.483778626,0.65648855,0.845419847,TRUE,TRUE
42,0.461832061,0.643129771,0.833969466,TRUE,TRUE
43,0.460877863,0.635496183,0.832061069,TRUE,TRUE
44,0.452290076,0.627862595,0.832061069,TRUE,TRUE
45,0.44370229,0.631679389,0.834923664,TRUE,TRUE
46,0.429389313,0.625954198,0.834923664,TRUE,TRUE
47,0.422709924,0.621183206,0.839694656,TRUE,TRUE
48,0.41889313,0.609732824,0.853053435,TRUE,TRUE
49,0.416030534,0.611641221,0.846374046,TRUE,TRUE
50,0.429389313,0.625,0.86259542,TRUE,TRUE
51,0.428435115,0.644083969,0.878816794,TRUE,TRUE
52,0.421755725,0.661259542,0.91221374,TRUE,TRUE
53,0.422709924,0.675572519,0.937977099,TRUE,TRUE
54,0.415076336,0.674618321,0.941793893,TRUE,TRUE
55,0.436068702,0.682251908,0.952290076,TRUE,TRUE
56,0.444656489,0.688931298,0.977099237,TRUE,TRUE
57,0.445610687,0.685114504,0.96851145,TRUE,TRUE
58,0.410305344,0.676526718,0.979007634,TRUE,TRUE
59,0.360687023,0.634541985,0.954198473,TRUE,TRUE
60,0.319656489,0.591603053,0.936068702,TRUE,TRUE
61,0.249045802,0.514312977,0.848282443,TRUE,TRUE
62,0.173664122,0.461832061,0.788167939,TRUE,TRUE
63,0.145038168,0.438931298,0.771946565,TRUE,TRUE
64,0.144083969,0.432251908,0.804389313,TRUE,TRUE
65,0.135496183,0.444656489,0.83110687,TRUE,TRUE
66,0.114503817,0.450381679,0.880725191,TRUE,TRUE
