n,a,b,c,d,e
1,2.215967835,2.330844342,2.536473291,TRUE,TRUE
2,2.261918438,2.283744974,2.30097645,TRUE,TRUE
3,2.07007467,2.1447444,2.222860425,TRUE,TRUE
4,1.864445721,1.905801264,1.946008041,TRUE,TRUE
5,1.770246984,1.797817346,1.823090178,TRUE,TRUE
6,1.380815623,1.438253877,1.476163125,TRUE,TRUE
7,1.094773119,1.168294084,1.222286043,TRUE,TRUE
8,0.774267662,0.840896037,0.901780586,TRUE,TRUE
9,0.697300402,0.716829408,0.7466973,TRUE,TRUE
10,0.731763354,0.747846065,0.762780011,TRUE,TRUE
11,0.706490523,0.726019529,0.745548535,TRUE,TRUE
12,0.693854107,0.711085583,0.727168294,TRUE,TRUE
13,0.614589316,0.650201034,0.717978173,TRUE,TRUE
14,0.542217117,0.626076967,0.712234348,TRUE,TRUE
15,0.551407237,0.581275129,0.684663986,TRUE,TRUE
16,0.480183802,0.613440551,0.677771396,TRUE,TRUE
17,0.498564044,0.556002298,0.578977599,TRUE,TRUE
18,0.500861574,0.519241815,0.541068352,TRUE,TRUE
19,0.449167145,0.473291212,0.504307869,TRUE,TRUE
20,0.480183802,0.510051694,0.534175761,TRUE,TRUE
21,0.43882826,0.51809305,0.531878231,TRUE,TRUE
22,0.498564044,0.51579552,0.550258472,TRUE,TRUE
23,0.480183802,0.538770821,0.589316485,TRUE,TRUE
24,0.530729466,0.562894888,0.653647329,TRUE,TRUE
25,0.575531304,0.59506031,0.654796094,TRUE,TRUE
26,0.634118323,0.658242389,0.714531878,TRUE,TRUE
27,0.66743251,0.690407812,0.734060885,TRUE,TRUE
28,0.639862148,0.705341758,0.780011488,TRUE,TRUE
29,0.646754739,0.709936818,0.745548535,TRUE,TRUE
30,0.59506031,0.659391155,0.728317059,TRUE,TRUE
31,0.565192418,0.598506605,0.651349799,TRUE,TRUE
32,0.533026996,0.566341183,0.66283745,TRUE,TRUE
33,0.502010339,0.569787478,0.587018955,TRUE,TRUE
34,0.474439977,0.507754164,0.549109707,TRUE,TRUE
35,0.462952326,0.485927628,0.51349799,TRUE,TRUE
36,0.410109133,0.461803561,0.482481333,TRUE,TRUE
37,0.390580126,0.425043079,0.439977025,TRUE,TRUE
38,0.377943711,0.415852958,0.434233199,TRUE,TRUE
39,0.351522114,0.396323952,0.422745549,TRUE,TRUE
40,0.336588168,0.397472717,0.44112579,TRUE,TRUE
41,0.344629523,0.397472717,0.434233199,TRUE,TRUE
42,0.365307295,0.417001723,0.449167145,TRUE,TRUE
43,0.420448018,0.446869615,0.470993682,TRUE,TRUE
44,0.437679495,0.492245836,0.558299828,TRUE,TRUE
45,0.547960942,0.609994256,0.680068926,TRUE,TRUE
46,0.641010913,0.698449167,0.777713957,TRUE,TRUE
47,0.701895462,0.785755313,0.923607122,TRUE,TRUE
48,0.845491097,0.892590465,1.000574383,TRUE,TRUE
49,0.921309592,0.997128087,1.04078116,TRUE,TRUE
50,0.929350948,1.008615738,1.076392878,TRUE,TRUE
51,0.871912694,0.9638139,1.086731763,TRUE,TRUE
52,0.808730615,0.878805284,1.080987938,TRUE,TRUE
53,0.782309018,0.827110856,0.88225158,TRUE,TRUE
54,0.657093624,0.767375072,0.858127513,TRUE,TRUE
55,0.587018955,0.66283745,0.796094199,TRUE,TRUE
56,0.503159104,0.567489948,0.678920161,TRUE,TRUE
57,0.43882826,0.492820218,0.537622056,TRUE,TRUE
58,0.421596783,0.474439977,0.514646755,TRUE,TRUE
59,0.427340609,0.482481333,0.537622056,TRUE,TRUE
60,0.44342332,0.526134406,0.589316485,TRUE,TRUE
61,0.483630098,0.568638713,0.630672028,TRUE,TRUE
