,n,a,b,c
24/02/2020,1,2.7303989,2.823933975,2.845942228
25/02/2020,2,2.7303989,2.823933975,2.845942228
26/02/2020,3,2.7303989,2.823933975,2.845942228
27/02/2020,4,2.7303989,2.823933975,2.845942228
28/02/2020,5,2.7303989,2.823933975,2.845942228
29/02/2020,6,2.7303989,2.823933975,2.845942228
01/03/2020,7,2.7303989,2.823933975,2.845942228
02/03/2020,8,2.7303989,2.823933975,2.845942228
03/03/2020,9,2.7303989,2.823933975,2.845942228
04/03/2020,10,2.7303989,2.823933975,2.845942228
05/03/2020,11,2.7303989,2.823933975,2.845942228
06/03/2020,12,2.7303989,2.823933975,2.845942228
07/03/2020,13,2.7303989,2.823933975,2.845942228
08/03/2020,14,2.7303989,2.823933975,2.845942228
09/03/2020,15,2.517193948,2.607977992,2.679504814
10/03/2020,16,2.324621733,2.352819807,2.485557084
11/03/2020,17,2.138927098,2.311554333,2.552957359
12/03/2020,18,2.137551582,2.255845942,2.323246217
13/03/2020,19,1.892709766,2.006877579,2.330811554
14/03/2020,20,1.884456671,2.099037139,2.251719395
15/03/2020,21,1.746905089,1.936726272,2.152682256
16/03/2020,22,1.833562586,1.947730399,2.211829436
17/03/2020,23,1.874828061,2.096286107,2.137551582
18/03/2020,24,1.620357634,1.825309491,2.028885832
19/03/2020,25,1.447730399,1.649243466,1.830811554
20/03/2020,26,1.363136176,1.540577717,1.64786795
21/03/2020,27,1.01650619,1.140302613,1.354883081
22/03/2020,28,0.823933975,1.039889959,1.158184319
23/03/2020,29,0.716643741,0.90784044,0.995873453
24/03/2020,30,0.634112792,0.712517194,0.788170564
25/03/2020,31,0.557083906,0.66437414,0.685006878
26/03/2020,32,0.54607978,0.627235213,0.649243466
27/03/2020,33,0.528198074,0.561210454,0.581843191
28/03/2020,34,0.484181568,0.557083906,0.607290234
29/03/2020,35,0.500687758,0.558459422,0.649931224
30/03/2020,36,0.397524072,0.583906465,0.669188446
31/03/2020,37,0.464924347,0.565337001,0.676753783
01/04/2020,38,0.465612105,0.537826685,0.68431912
02/04/2020,39,0.473177442,0.548830812,0.66437414
03/04/2020,40,0.506189821,0.613480055,0.668500688
04/04/2020,41,0.533700138,0.603851444,0.660247593
05/04/2020,42,0.481430536,0.603851444,0.679504814
06/04/2020,43,0.423658872,0.561210454,0.685006878
07/04/2020,44,0.445667125,0.521320495,0.812929849
08/04/2020,45,0.43741403,0.528198074,0.785419532
09/04/2020,46,0.473177442,0.577028886,0.689133425
10/04/2020,47,0.477303989,0.611416781,0.645116919
11/04/2020,48,0.49656121,0.632737276,0.720770289
12/04/2020,49,0.456671252,0.623796424,0.749656121
13/04/2020,50,0.458046768,0.642365887,0.767537827
14/04/2020,51,0.462173315,0.646492435,0.792297111
15/04/2020,52,0.455295736,0.613480055,0.74002751
16/04/2020,53,0.4869326,0.624484182,0.694635488
17/04/2020,54,0.408528198,0.552269601,0.609353508
18/04/2020,55,0.409903714,0.508940853,0.590096286
19/04/2020,56,0.376891334,0.505502063,0.594222834
20/04/2020,57,0.364511692,0.436726272,0.507565337
21/04/2020,58,0.334250344,0.398211829,0.488308116
22/04/2020,59,0.33562586,0.400962861,0.467675378
23/04/2020,60,0.33562586,0.398899587,0.473177442
24/04/2020,61,0.356258597,0.425034388,0.541953232
25/04/2020,62,0.389270977,0.497248968,0.580467675
26/04/2020,63,0.416781293,0.557083906,0.617606602
27/04/2020,64,0.444291609,0.62173315,0.719394773
28/04/2020,65,0.521320495,0.630674003,0.833562586
29/04/2020,66,0.548830812,0.702888583,0.917469051
30/04/2020,67,0.712517194,0.795048143,0.917469051
01/05/2020,68,0.690508941,0.841815681,0.994497937
02/05/2020,69,0.731774415,0.898211829,1.10866575
03/05/2020,70,0.705639615,0.962861073,1.122420908
04/05/2020,71,0.646492435,0.92434663,1.199449794
05/05/2020,72,0.569463549,0.894085282,1.19394773
06/05/2020,73,0.555708391,0.811554333,1.104539202
07/05/2020,74,0.528198074,0.665749656,0.928473177
08/05/2020,75,0.49656121,0.641678129,0.83218707
09/05/2020,76,0.434662999,0.58872077,0.7303989
10/05/2020,77,0.390646492,0.487620358,0.700137552
11/05/2020,78,0.31911967,0.515818432,0.686382393
12/05/2020,79,0.368638239,0.526822558,0.689133425
13/05/2020,80,0.456671252,0.601788171,0.825309491
14/05/2020,81,0.499312242,0.706327373,0.914718019
15/05/2020,82,0.558459422,0.796423659,1.055020633
16/05/2020,83,0.609353508,0.81568088,1.119669876
17/05/2020,84,0.658872077,0.876203576,1.180192572
18/05/2020,85,0.671251719,0.9869326,1.2696011
19/05/2020,86,0.719394773,0.979367263,1.200825309
20/05/2020,87,0.698762036,0.942916094,1.141678129
21/05/2020,88,0.658872077,0.887895461,1.112792297
22/05/2020,89,0.640990371,0.833562586,1.064649243
23/05/2020,90,0.607977992,0.798486933,0.991746905
24/05/2020,91,0.574965612,0.755845942,0.969738652
25/05/2020,92,0.508940853,0.705639615,0.920220083
26/05/2020,93,0.507565337,0.683631362,0.902338377
27/05/2020,94,0.533700138,0.683631362,0.878954608
28/05/2020,95,0.478679505,0.711141678,0.92434663
29/05/2020,96,0.473177442,0.645804677,0.931224209
30/05/2020,97,0.464924347,0.712517194,0.911966988
31/05/2020,98,0.500687758,0.747592847,1.030261348
01/06/2020,99,0.58872077,0.828060523,1.138927098
02/06/2020,100,0.63823934,0.971114168,1.181568088
03/06/2020,101,0.748280605,1.011004127,1.348005502
04/06/2020,102,0.850068776,1.057771664,1.452544704
05/06/2020,103,0.880330124,1.127235213,1.500687758
06/06/2020,104,0.899587345,1.144429161,1.623108666
07/06/2020,105,0.954607978,1.21045392,1.591471802
08/06/2020,106,0.933975241,1.188445667,1.601100413
09/06/2020,107,0.947730399,1.16781293,1.609353508
10/06/2020,108,0.922971114,1.224209078,1.577716644
11/06/2020,109,0.90784044,1.16781293,1.592847318
12/06/2020,110,0.903713893,1.136863824,1.576341128
13/06/2020,111,0.931224209,1.138927098,1.464924347
14/06/2020,112,0.942228336,1.18431912,1.481430536
15/06/2020,113,0.972489684,1.171251719,1.471801926
16/06/2020,114,0.925722146,1.198762036,1.469050894
17/06/2020,115,0.918844567,1.157496561,1.447042641
18/06/2020,116,0.843191197,1.128610729,1.412654746
19/06/2020,117,0.795048143,1.057083906,1.324621733
20/06/2020,118,0.741403026,0.974552957,1.262723521
21/06/2020,119,0.667125172,0.889958735,1.178817056
22/06/2020,120,0.613480055,0.812929849,1.071526823
23/06/2020,121,0.544704264,0.707702889,0.962861073
24/06/2020,122,0.467675378,0.649243466,0.913342503
25/06/2020,123,0.382393398,0.577716644,0.829436039
26/06/2020,124,0.327372765,0.515130674,0.759284732
27/06/2020,125,0.27647868,0.468363136,0.695323246
28/06/2020,126,0.248968363,0.414718019,0.630674003
29/06/2020,127,0.224209078,0.387895461,0.577716644
30/06/2020,128,0.203576341,0.356946355,0.557083906
01/07/2020,129,0.182943604,0.330123796,0.534387895
02/07/2020,130,0.162310867,0.316368638,0.541953232
03/07/2020,131,0.137551582,0.30261348,0.555708391
04/07/2020,132,0.122420908,0.291609354,0.581155433
05/07/2020,133,0.110041265,0.28610729,0.614855571
06/07/2020,134,0.099724897,0.280605227,0.660247593
07/07/2020,135,0.090784044,0.268225585,0.690508941
08/07/2020,136,0.083906465,0.262723521,0.753094911
09/07/2020,137,0.07565337,0.262035763,0.806740028
10/07/2020,138,0.068775791,0.255158184,0.867950481
11/07/2020,139,0.064649243,0.251719395,0.936726272
12/07/2020,140,0.060522696,0.253094911,0.979367263
,,,,
