n,a,b,c,d,e
1,3.421393619,0.927500489,0.025210413,,
2,3.320649834,0.89774907,0.025288706,,
3,0.977823449,3.609179879,0.025210413,,
4,4.362614993,1.181698963,0.029849286,,
5,5.585633196,1.518516344,0.039127031,,
6,7.268956743,1.972010178,0.050636132,,
7,9.314278724,2.526492464,0.064660403,,
8,11.50223136,0.079330593,3.120551967,,
9,19.26179291,6.918281464,0.838128792,,
10,16.21068702,6.732061069,1.389312977,,
11,9.86259542,5.074045802,1.863358779,,
12,2.135819143,4.151145038,0.784732824,,
13,0.42513212,2.248091603,1.155725191,,
14,1.687022901,0.901526718,0.363417499,,
15,0.459541985,0.95648855,1.636641221,,
16,1.254139753,0.750322959,0.37475044,,
17,0.647328244,1.013740458,0.363358779,,
18,0.466412214,0.706870229,0.997709924,,
19,0.867175573,0.645038168,1.116793893,,
20,0.612977099,0.981679389,0.787022901,,
21,0.601467998,0.903816794,0.745801527,,
22,0.489254257,0.72513212,0.601467998,,
23,0.500822079,0.704638873,0.599295361,,
24,0.599177921,0.690780975,0.516735173,,
25,0.473282443,0.544274809,0.622137405,,
26,0.502935995,0.441103934,0.383852026,,
27,0.459424545,0.404521433,0.351849677,,
28,0.461890781,0.358837346,0.409219025,,
29,0.438990018,0.491661773,0.388608338,,
30,0.564826776,0.452671756,0.507633588,,
31,0.521432766,0.640516735,0.576394598,,
32,0.695478567,0.761890781,0.63135643,,
33,0.922078685,0.844216089,0.770933647,,
34,1,0.915267176,1.084732824,,
35,1.327363476,1.228890194,1.13728714,,
36,1.476277158,1.579330593,1.373223723,,
37,1.453493834,1.661890781,1.556605989,,
38,1.469348209,1.567821491,1.666294774,,
39,1.689078097,1.501291838,1.592953611,,
40,1.478449794,1.565472695,1.654785672,,
41,1.538109219,1.457956547,1.62513212,,
42,1.423722842,1.579448033,1.501644157,,
43,1.377980035,1.522254844,1.451262478,,
44,1.499236641,1.364122137,1.432824427,,
45,1.439753376,1.503875514,1.373341163,,
46,1.267880211,1.389254257,1.329712272,,
47,1.226600117,1.173928362,1.28156195,,
48,1.132765708,1.082384028,1.185437463,,
49,1.04345273,1.139694656,1.091603053,,
50,1.06864357,1.020551967,1.114503817,,
51,0.988549618,1.036641221,1.082442748,,
52,0.940458015,1.029770992,0.981679389,,
53,0.995419847,0.951908397,0.908396947,,
54,1.002290076,0.95648855,0.912977099,,
55,0.942748092,0.986259542,1.032061069,,
56,0.938167939,0.979389313,0.892366412,,
57,0.919847328,0.878625954,0.965648855,,
58,0.903758074,0.8625367,0.949559601,,
59,0.915208456,0.871755725,0.958778626,,
60,1.020610687,0.97480916,0.93129771,,
61,0.981679389,1.029770992,0.935877863,,
62,0.997709924,0.951908397,0.90610687,,
63,0.993129771,0.947328244,1.041221374,,
64,0.935877863,1.029770992,0.983969466,,
65,0.97475044,0.926658837,1.020610687,,
66,0.942806812,0.990898415,0.897005285,,
67,0.970170288,0.880916031,0.924427481,,
68,0.876335878,0.919847328,0.965648855,,
69,0.97480916,0.926717557,0.880916031,,
70,0.880916031,0.929007634,0.97480916,,
71,0.970229008,0.924427481,0.878625954,,
72,0.977099237,0.880916031,0.93129771,,
73,0.979389313,0.883206107,0.93129771,,
74,0.853435115,0.903816794,0.949618321,,
75,0.855666471,0.951849677,0.903816794,,
76,0.970229008,0.876335878,0.924427481,,
77,0.965648855,0.915267176,0.864885496,,
78,0.970229008,0.919847328,0.871755725,,
79,0.876335878,0.97480916,0.924427481,,
80,0.88778626,0.988549618,0.938167939,,
81,0.965590135,0.912918379,1.018320611,,
82,1.018320611,0.963358779,0.912977099,,
83,0.896887845,0.945038168,1.002290076,,
84,0.965648855,0.912977099,1.018320611,,
85,0.892366412,0.940458015,0.995419847,,
86,0.958778626,0.90610687,1.013740458,,
