n,b,a,c,d,e
1,0.20781786,0.812558478,1.784073188,TRUE,TRUE
2,0.107391621,0.561492879,1.360536438,TRUE,TRUE
3,0.1095748,0.570225595,1.38008109,TRUE,TRUE
6,0.31624909,1.150223516,2.516789687,TRUE,TRUE
7,0.355130471,1.265516166,2.787088055,TRUE,TRUE
8,0.542364071,1.629587275,3.369684998,TRUE,TRUE
9,0.727726375,1.943757147,3.823474374,TRUE,TRUE
10,0.531032332,1.592161347,3.209793118,TRUE,TRUE
12,0.454205219,1.355754236,2.69404304,TRUE,TRUE
13,0.700592577,1.687285581,3.147832415,TRUE,TRUE
14,0.647780435,1.560349309,2.874623142,TRUE,TRUE
15,0.700280694,1.551720553,2.761201788,TRUE,TRUE
16,1.014242645,1.920158021,3.14492151,TRUE,TRUE
18,0.885539037,1.531760058,2.372284021,TRUE,TRUE
19,0.736874935,1.239006134,1.891672731,TRUE,TRUE
21,0.67928059,1.065599335,1.534982846,TRUE,TRUE
24,2.352635409,2.870048862,3.428838757,TRUE,TRUE
25,1.861108223,2.260630003,2.671067679,TRUE,TRUE
26,1.56960183,1.890529161,2.215822851,TRUE,TRUE
28,1.177773157,1.376442458,1.59247323,TRUE,TRUE
36,0.866514191,0.938559102,1.017049589,TRUE,TRUE
39,0.910489656,0.973801851,1.037114045,TRUE,TRUE
40,0.941262085,1.00457428,1.067886475,TRUE,TRUE
42,1.045015074,1.10385695,1.169352324,TRUE,TRUE
43,1.103960911,1.164985965,1.232664518,TRUE,TRUE
45,1.262397339,1.327788751,1.395467304,TRUE,TRUE
47,1.336417507,1.397546523,1.467408254,TRUE,TRUE
48,1.39266036,1.455972554,1.525834286,TRUE,TRUE
49,1.436531864,1.499740098,1.567418651,TRUE,TRUE
52,1.451190352,1.50795301,1.569082025,TRUE,TRUE
54,1.488720241,1.543299719,1.600062377,TRUE,TRUE
56,1.572408774,1.624805073,1.679384551,TRUE,TRUE
60,1.370204803,1.413868385,1.45316561,TRUE,TRUE
62,1.282565755,1.324046159,1.363343383,TRUE,TRUE
63,1.216654538,1.260214159,1.292961846,TRUE,TRUE
69,1.130366982,1.165193887,1.202307932,TRUE,TRUE
70,1.147416571,1.182347437,1.219461482,TRUE,TRUE
72,1.209897079,1.246907163,1.286204387,TRUE,TRUE
74,1.233496205,1.27279343,1.312090654,TRUE,TRUE
76,1.23515958,1.272273625,1.313754028,TRUE,TRUE
77,1.222060505,1.259070589,1.296184635,TRUE,TRUE
79,1.201996049,1.236926915,1.27622414,TRUE,TRUE
