,,,,,,,,,,,n,a,b,c,,,
0.991572073,0.926608975,,1.018377225,1.000082041,,0.025139913,0.926608975,3.424319632,,43878,1,0.025057872,0.926526934,3.424237591,,1.000082041,8.20412E-05
1.013687751,0.025139913,,2.018459267,1.004430224,,0.029563049,0.903982935,3.329392337,,43879,2,0.025132825,0.899552711,3.324962113,,1.004430224,0.004430224
1.018377225,1.000082041,,3.056280253,1.008942489,,0.033986184,0.989723718,3.622510132,,43880,3,0.025043695,0.980781229,3.613567643,,1.008942489,0.008942489
1.077823218,3.424319632,,4.075231766,1.013372713,,0.047255591,1.192507474,4.366107277,,43881,4,0.033882878,1.179134761,4.352734564,,1.013372713,0.013372713
2.008382903,0.903982935,,5.114444827,1.019664944,,0.051848847,1.521520715,5.605946214,,43882,5,0.032183904,1.501855772,5.58628127,,1.019664944,0.019664944
2.018459267,1.004430224,,6.196922209,1.02136615,,0.074304767,1.994796226,7.296604742,,43883,6,0.052938617,1.973430076,7.275238592,,1.02136615,0.02136615
2.031008942,0.029563049,,7.21441352,1.034805677,,0.088084535,2.567422168,9.411033686,,43884,7,0.053278858,2.53261649,9.376228009,,1.034805677,0.034805677
2.054145344,3.329392337,,8.192606974,1.039058692,,0.110200213,3.157910772,11.54315517,,43885,8,0.071141521,3.11885208,11.50409648,,1.039058692,0.039058692
3.048330134,0.033986184,,9.222951842,1.042536713,,0.863153991,6.958404988,19.31970806,,43886,9,0.820617278,6.915868275,19.27717135,,1.042536713,0.042536713
3.056280253,1.008942489,,10.26626368,1.042064156,,1.417577028,6.782500287,16.28560715,,43887,10,1.375512872,6.740436131,16.243543,,1.042064156,0.042064156
3.066362917,0.989723718,,11.28369829,1.05249822,,1.899868931,5.132004266,9.915611387,,43888,11,1.847370711,5.079506046,9.863113168,,1.05249822,0.05249822
3.116038133,3.622510132,,12.30101948,1.056921355,,0.83151156,2.18836656,4.203642104,,43889,12,0.774590204,2.131445205,4.146720748,,1.056921355,0.056921355
4.026693707,0.047255591,,13.35298384,1.054232505,,0.475279022,1.205776881,2.305776684,,43890,13,0.421046517,1.151544376,2.251544179,,1.054232505,0.054232505
4.075231766,1.013372713,,14.38552137,1.058721798,,0.416757535,0.957741045,1.742167134,,43891,14,0.358035737,0.899019247,1.683445336,,1.058721798,0.058721798
4.087426762,1.192507474,,15.391005,1.069354336,,0.520531102,1.019115596,1.701508311,,43892,15,0.451176766,0.94976126,1.632153975,,1.069354336,0.069354336
4.108181475,4.366107277,,16.39625236,1.067464107,,0.44363659,0.822325047,1.318226598,,43893,16,0.376172483,0.75486094,1.250762491,,1.067464107,0.067464107
5.083142637,0.051848847,,17.45596193,1.07207154,,0.430026942,0.718551481,1.088932644,,43894,17,0.357955402,0.646479941,1.016861104,,1.07207154,0.07207154
5.110872295,1.521520715,,18.51567151,1.076678973,,0.54264678,0.78625948,1.075888096,,43895,18,0.465967807,0.709580507,0.999209123,,1.076678973,0.076678973
5.114444827,1.019664944,,19.49386496,1.080931988,,0.727567873,0.943961277,1.196420248,,43896,19,0.646635885,0.863029289,1.11548826,,1.080931988,0.080931988
5.187936927,5.605946214,,20.55369267,1.091800804,,0.696095562,0.867407006,1.063253753,,43897,20,0.604294758,0.775606202,0.971452949,,1.091800804,0.091800804
6.100804069,0.074304767,,21.55905817,1.096171958,,0.691332185,0.835764575,0.988873115,,43898,21,0.595160226,0.739592616,0.892701157,,1.096171958,0.096171958
6.137039757,1.994796226,,22.59147756,1.094399869,,0.578712347,0.695925441,0.813138535,,43899,22,0.484312478,0.601525572,0.718738666,,1.094399869,0.094399869
6.196922209,1.02136615,,23.59684306,1.098771023,,0.592151875,0.691332185,0.799528887,,43900,23,0.493380852,0.592561162,0.700757864,,1.098771023,0.098771023
6.276198408,7.296604742,,24.62949873,1.1095217,,0.614607794,0.704771712,0.795105751,,43901,24,0.505086094,0.595250012,0.685584051,,1.1095217,0.1095217
7.196550857,0.088084535,,25.66191812,1.10774961,,0.574119091,0.655096497,0.727397752,,43902,25,0.466369481,0.547346887,0.619648142,,1.10774961,0.10774961
7.204206284,2.567422168,,26.69985699,1.110509344,,0.488378308,0.551322931,0.614607794,,43903,26,0.377868964,0.440813586,0.504098449,,1.110509344,0.110509344
7.21441352,1.034805677,,27.7173483,1.123948872,,0.465752268,0.519850619,0.57394897,,43904,27,0.341803397,0.395901747,0.450000098,,1.123948872,0.123948872
7.372455558,9.411033686,,28.73466949,1.128372008,,0.479191796,0.524273755,0.578372106,,43905,28,0.350819788,0.395901747,0.450000098,,1.128372008,0.128372008
8.135956814,0.110200213,,29.7909483,1.123948872,,0.510834228,0.564932579,0.618860809,,43906,29,0.386885356,0.440983707,0.494911937,,1.123948872,0.123948872
8.192606974,1.039058692,,30.80826949,1.128372008,,0.587388498,0.632470457,0.6955852,,43907,30,0.45901649,0.504098449,0.567213192,,1.128372008,0.128372008
8.232585315,3.157910772,,31.82559068,1.132795143,,0.654926376,0.718041119,0.77213947,,43908,31,0.522131233,0.585245976,0.639344327,,1.132795143,0.132795143
8.390797473,11.54315517,,32.84291187,1.137218279,,0.768889983,0.830660957,0.903683649,,43909,32,0.631671704,0.693442678,0.76646537,,1.137218279,0.137218279
9.206525753,0.863153991,,33.86040318,1.150657806,,0.91689228,0.990811387,1.069078677,,43910,33,0.766234474,0.840153581,0.918420871,,1.150657806,0.150657806
9.222951842,1.042536713,,34.91685211,1.155251062,,1.064894577,1.138731643,1.234473706,,43911,34,0.909643515,0.983480581,1.079222643,,1.155251062,0.155251062
9.360655017,6.958404988,,35.97330104,1.159844319,,1.295430306,1.386742145,1.486750349,,43912,35,1.135585987,1.226897826,1.32690603,,1.159844319,0.159844319
9.554762622,19.31970806,,36.99062223,1.164267454,,1.539092624,1.639018787,1.743375174,,43913,36,1.37482517,1.474751333,1.57910772,,1.164267454,0.164267454
10.2342243,1.417577028,,38.0077733,1.159674198,,1.626138321,1.726146526,1.830502912,,43914,37,1.466464123,1.566472328,1.670828714,,1.159674198,0.159674198
10.26626368,1.042064156,,39.02526462,1.173113725,,1.639346952,1.739273115,1.83936336,,43915,38,1.466233227,1.56615939,1.666249635,,1.173113725,0.173113725
10.3745738,6.782500287,,40.04241569,1.168520469,,1.678562638,1.769874477,1.865534498,,43916,39,1.510042169,1.601354008,1.697014029,,1.168520469,0.168520469
10.51475317,16.28560715,,41.09886462,1.173113725,,1.661251948,1.748215604,1.830831077,,43917,40,1.488138223,1.575101879,1.657717352,,1.173113725,0.173113725
11.26056188,1.899868931,,42.11618581,1.177536861,,1.639593076,1.722208549,1.80055788,,43918,41,1.462056215,1.544671688,1.623021019,,1.177536861,0.177536861
11.28369829,1.05249822,,43.13367712,1.190976389,,1.60940192,1.683238986,1.761506276,,43919,42,1.418425531,1.492262597,1.570529888,,1.190976389,0.190976389
11.36048897,5.132004266,,44.18995593,1.186553253,,1.570350316,1.63992124,1.713840348,,43920,43,1.383797063,1.453367988,1.527287095,,1.186553253,0.186553253
11.45092684,9.915611387,,45.20727712,1.190976389,,1.557387809,1.62261055,1.692181475,,43921,44,1.36641142,1.431634162,1.501205087,,1.190976389,0.190976389
12.29676646,0.83151156,,46.22476843,1.204415916,,1.570596439,1.631470998,1.701041923,,43922,45,1.366180523,1.427055082,1.496626007,,1.204415916,0.204415916
12.30101948,1.056921355,,47.24208962,1.208839052,,1.475018459,1.531544836,1.592419395,,43923,46,1.266179408,1.322705784,1.383580343,,1.208839052,0.208839052
12.32381656,2.18836656,,48.29853855,1.213432308,,1.37952252,1.440397079,1.492575273,,43924,47,1.166090212,1.226964772,1.279142965,,1.213432308,0.213432308
12.36039157,4.203642104,,49.31585974,1.217855443,,1.296989089,1.344819099,1.396997293,,43925,48,1.079133645,1.126963656,1.179141849,,1.217855443,0.217855443
13.30728283,0.475279022,,50.33301081,1.213262187,,1.258019526,1.310197719,1.353679547,,43926,49,1.044757339,1.096935532,1.14041736,,1.213262187,0.213262187
13.35298384,1.054232505,,51.38945974,1.217855443,,1.240708836,1.288538847,1.332020674,,43927,50,1.022853392,1.070683403,1.114165231,,1.217855443,0.217855443
13.36019034,1.205776881,,52.40678093,1.222278579,,1.206087456,1.258265649,1.306013619,,43928,51,0.983808877,1.03598707,1.08373504,,1.222278579,0.222278579
13.38094505,2.305776684,,53.42410212,1.226701715,,1.171384035,1.21051768,1.258347691,,43929,52,0.94468232,0.983815965,1.031645976,,1.226701715,0.226701715
14.36254091,0.416757535,,54.48072117,1.240311363,,1.141110838,1.184592666,1.228074493,,43930,53,0.905562852,0.94904468,0.992526508,,1.235547986,0.235547986
14.37274815,0.957741045,,55.45874451,1.235547986,,1.149889244,1.193371072,1.241201083,,43931,54,0.909577882,0.95305971,1.00088972,,1.240311363,0.240311363
