"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-03-12;NA;NA;NA
"Burgenland";2020-03-13;NA;NA;NA
"Burgenland";2020-03-14;NA;NA;NA
"Burgenland";2020-03-15;NA;NA;NA
"Burgenland";2020-03-16;NA;NA;NA
"Burgenland";2020-03-17;NA;NA;NA
"Burgenland";2020-03-18;NA;NA;NA
"Burgenland";2020-03-19;2,45465555590678;1,64392135013252;3,42532759129121
"Burgenland";2020-03-20;2,16365639147582;1,47993937007444;2,97516449118707
"Burgenland";2020-03-21;2,79668762720573;2,08231763357821;3,61478821825122
"Burgenland";2020-03-22;2,67729426950371;2,05266616457151;3,38362719462573
"Burgenland";2020-03-23;2,80534568222006;2,23765358348758;3,43624748043354
"Burgenland";2020-03-24;2,14637398687224;1,71203195159478;2,62907785347192
"Burgenland";2020-03-25;1,70400417849946;1,35918046765619;2,08722229924379
"Burgenland";2020-03-26;1,96322922788643;1,62084707403774;2,33792985381537
"Burgenland";2020-03-27;2,02388847816527;1,70142904944596;2,37391535741507
"Burgenland";2020-03-28;1,85775778546939;1,57326537997176;2,16554477280198
"Burgenland";2020-03-29;1,7660044473248;1,50978154412996;2,04201389694917
"Burgenland";2020-03-30;1,56515841659317;1,34123355422968;1,80611581421656
"Burgenland";2020-03-31;1,34591430658231;1,15119313264824;1,55562661465724
"Burgenland";2020-04-01;1,25754776650074;1,07812703669043;1,45057535002075
"Burgenland";2020-04-02;1,19161199584969;1,02298191513042;1,372918278798
"Burgenland";2020-04-03;1,06079048503809;0,906002214448542;1,22760626852954
"Burgenland";2020-04-04;1,04504362503818;0,893851145335305;1,20787606509319
"Burgenland";2020-04-05;0,917528306407899;0,777463834769381;1,06902208843395
"Burgenland";2020-04-06;0,934723350243167;0,793363944915735;1,08750100521045
"Burgenland";2020-04-07;0,956798699649183;0,812987262166866;1,11214922932996
"Burgenland";2020-04-08;0,814937305624739;0,6818513044444;0,959711923354452
"Burgenland";2020-04-09;0,702145143903442;0,577614502141532;0,838650680674158
"Burgenland";2020-04-10;0,69547859518145;0,568832587610054;0,834663116865853
"Burgenland";2020-04-11;0,635303192232268;0,510858789728288;0,77310863164135
"Burgenland";2020-04-12;0,679407686693379;0,545620161269711;0,827644224130244
"Burgenland";2020-04-13;0,730928043159977;0,586225664205294;0,891351619939141
"Burgenland";2020-04-14;0,719864633411664;0,570807884033164;0,885951542163276
"Burgenland";2020-04-15;0,727487709664438;0,57221523257551;0,901116944302789
"Burgenland";2020-04-16;0,78187386333462;0,614993392478204;0,968483422054368
"Burgenland";2020-04-17;0,768173692747565;0,597684984653552;0,959729527769768
"Burgenland";2020-04-18;0,8164622446432;0,635256360334818;1,02005956711507
"Burgenland";2020-04-19;0,837670141217773;0,649182853671815;1,04981551111066
"Burgenland";2020-04-20;0,918363502564877;0,71590940395505;1,14564424918182
"Burgenland";2020-04-21;0,871077336123945;0,670835691579194;1,09707246150345
"Burgenland";2020-04-22;0,898964268059721;0,692312027256117;1,13219446938244
"Burgenland";2020-04-23;0,853215987338881;0,649507541353961;1,08428494962811
"Burgenland";2020-04-24;0,820612435277755;0,618197590366885;1,05125356332801
"Burgenland";2020-04-25;0,7435097734949;0,548205413438187;0,968112247147031
"Burgenland";2020-04-26;0,732172697684523;0,534051789831417;0,96106527943861
"Burgenland";2020-04-27;0,742936413933166;0,537666766552602;0,980879920861096
"Burgenland";2020-04-28;0,774636221478406;0,558289652407478;1,02586051526576
"Burgenland";2020-04-29;0,707990315298753;0,495867712828176;0,957291943324597
"Burgenland";2020-04-30;0,631165786741836;0,425844905869084;0,876244041626945
"Burgenland";2020-05-01;0,615066897523303;0,405332961112921;0,867837160769657
"Burgenland";2020-05-02;0,624528896589891;0,40416217290815;0,892079513893761
"Burgenland";2020-05-03;0,524302728719792;0,315664492471645;0,785012543906917
"Burgenland";2020-05-04;0,524684209419378;0,30564788720506;0,801933444283639
"Burgenland";2020-05-05;0,524423978193405;0,293516119614932;0,821234703664591
"Burgenland";2020-05-06;0,558919114436069;0,305566280856096;0,887499514295755
"Burgenland";2020-05-07;NA;NA;NA
"Burgenland";2020-05-08;NA;NA;NA
"Burgenland";2020-05-09;NA;NA;NA
"Burgenland";2020-05-10;NA;NA;NA
"Burgenland";2020-05-11;NA;NA;NA
"Burgenland";2020-05-12;NA;NA;NA
"Burgenland";2020-05-13;NA;NA;NA
"Burgenland";2020-05-14;NA;NA;NA
"Burgenland";2020-05-15;NA;NA;NA
"Burgenland";2020-05-16;NA;NA;NA
"Burgenland";2020-05-17;NA;NA;NA
"Burgenland";2020-05-18;NA;NA;NA
"Burgenland";2020-05-19;NA;NA;NA
"Burgenland";2020-05-20;NA;NA;NA
"Burgenland";2020-05-21;NA;NA;NA
"Burgenland";2020-05-22;NA;NA;NA
"Burgenland";2020-05-23;NA;NA;NA
"Burgenland";2020-05-24;NA;NA;NA
"Burgenland";2020-05-25;NA;NA;NA
"Burgenland";2020-05-26;NA;NA;NA
"Burgenland";2020-05-27;NA;NA;NA
"Burgenland";2020-05-28;NA;NA;NA
"Burgenland";2020-05-29;NA;NA;NA
"Burgenland";2020-05-30;NA;NA;NA
"Burgenland";2020-05-31;NA;NA;NA
"Burgenland";2020-06-01;NA;NA;NA
"Burgenland";2020-06-02;NA;NA;NA
"Burgenland";2020-06-03;NA;NA;NA
"Kärnten";2020-03-12;NA;NA;NA
"Kärnten";2020-03-13;NA;NA;NA
"Kärnten";2020-03-14;NA;NA;NA
"Kärnten";2020-03-15;NA;NA;NA
"Kärnten";2020-03-16;NA;NA;NA
"Kärnten";2020-03-17;NA;NA;NA
"Kärnten";2020-03-18;5,13538714042169;3,82363303421024;6,6376154243234
"Kärnten";2020-03-19;4,46331997373935;3,5046661697477;5,53611754215042
"Kärnten";2020-03-20;3,06144868393169;2,42753840686578;3,76778502081509
"Kärnten";2020-03-21;2,8083570525388;2,29695783622472;3,3703870499892
"Kärnten";2020-03-22;2,36425444065723;1,95858877316398;2,80753277180198
"Kärnten";2020-03-23;2,18139992838019;1,83621036243375;2,55588116970394
"Kärnten";2020-03-24;2,04429972862977;1,74339329974642;2,36880876441182
"Kärnten";2020-03-25;1,81929648876477;1,56114194893921;2,09691374767377
"Kärnten";2020-03-26;1,73043429201904;1,49834995271025;1,97898488952997
"Kärnten";2020-03-27;1,62997641897517;1,42030608446148;1,85387094324998
"Kärnten";2020-03-28;1,55042582362264;1,35851867904274;1,75482692906724
"Kärnten";2020-03-29;1,43442710905176;1,26007518032901;1,61991199615361
"Kärnten";2020-03-30;1,28832136590829;1,13110374020309;1,4556205973586
"Kärnten";2020-03-31;1,201240636684;1,05523208696797;1,35657232448567
"Kärnten";2020-04-01;1,0963886827911;0,960959176139034;1,24061590904493
"Kärnten";2020-04-02;1,06856431329258;0,937375347522989;1,20822013180557
"Kärnten";2020-04-03;0,969008828395509;0,845724589088195;1,10055884998199
"Kärnten";2020-04-04;0,92578216289924;0,8058924079537;1,0538640879359
"Kärnten";2020-04-05;0,861060842098425;0,745295468925003;0,985061160942562
"Kärnten";2020-04-06;0,802196805303532;0,689583110359058;0,923202772579818
"Kärnten";2020-04-07;0,806277187779604;0,691556093049212;0,92967277343488
"Kärnten";2020-04-08;0,807533719115988;0,690371707291468;0,933743445090325
"Kärnten";2020-04-09;0,795421825501418;0,676589498893856;0,923726412161611
"Kärnten";2020-04-10;0,776887806363208;0,656768441055608;0,906945999144311
"Kärnten";2020-04-11;0,729270238307932;0,610174377649263;0,858825995841635
"Kärnten";2020-04-12;0,72582073514382;0,603700135114458;0,859023004160062
"Kärnten";2020-04-13;0,667681522803506;0,547181120883726;0,799994450908403
"Kärnten";2020-04-14;0,630709986911992;0,509677870327709;0,764442532189086
"Kärnten";2020-04-15;0,627163322032804;0,501649704290157;0,766479751173096
"Kärnten";2020-04-16;0,623301233173237;0,492693759460593;0,769032166009726
"Kärnten";2020-04-17;0,642253071731241;0,503423884609621;0,797731842437737
"Kärnten";2020-04-18;0,6493971828627;0,503273896959454;0,813861210869628
"Kärnten";2020-04-19;0,628946235240213;0,478783015035617;0,799278198153782
"Kärnten";2020-04-20;0,609885639075002;0,455491766565881;0,786466078873381
"Kärnten";2020-04-21;0,479001578463921;0,337261316185453;0,645217385126565
"Kärnten";2020-04-22;0,40631190639179;0,269991311042124;0,570049545471174
"Kärnten";2020-04-23;0,316486468361643;0,190545528255135;0,473859535782558
"Kärnten";2020-04-24;NA;NA;NA
"Kärnten";2020-04-25;NA;NA;NA
"Kärnten";2020-04-26;NA;NA;NA
"Kärnten";2020-04-27;NA;NA;NA
"Kärnten";2020-04-28;NA;NA;NA
"Kärnten";2020-04-29;NA;NA;NA
"Kärnten";2020-04-30;NA;NA;NA
"Kärnten";2020-05-01;NA;NA;NA
"Kärnten";2020-05-02;NA;NA;NA
"Kärnten";2020-05-03;NA;NA;NA
"Kärnten";2020-05-04;NA;NA;NA
"Kärnten";2020-05-05;NA;NA;NA
"Kärnten";2020-05-06;NA;NA;NA
"Kärnten";2020-05-07;NA;NA;NA
"Kärnten";2020-05-08;NA;NA;NA
"Kärnten";2020-05-09;NA;NA;NA
"Kärnten";2020-05-10;NA;NA;NA
"Kärnten";2020-05-11;NA;NA;NA
"Kärnten";2020-05-12;NA;NA;NA
"Kärnten";2020-05-13;NA;NA;NA
"Kärnten";2020-05-14;NA;NA;NA
"Kärnten";2020-05-15;NA;NA;NA
"Kärnten";2020-05-16;NA;NA;NA
"Kärnten";2020-05-17;NA;NA;NA
"Kärnten";2020-05-18;NA;NA;NA
"Kärnten";2020-05-19;NA;NA;NA
"Kärnten";2020-05-20;NA;NA;NA
"Kärnten";2020-05-21;NA;NA;NA
"Kärnten";2020-05-22;NA;NA;NA
"Kärnten";2020-05-23;NA;NA;NA
"Kärnten";2020-05-24;NA;NA;NA
"Kärnten";2020-05-25;NA;NA;NA
"Kärnten";2020-05-26;NA;NA;NA
"Kärnten";2020-05-27;NA;NA;NA
