n,a,b,c,d,e
1,0.024813896,0.126550868,0.602977667,TRUE,TRUE
2,0.037220844,0.186104218,0.667493797,TRUE,TRUE
3,0.037220844,0.151364764,0.476426799,TRUE,TRUE
4,0.161290323,0.382133995,0.858560794,TRUE,TRUE
5,0.342431762,0.694789082,1.258064516,TRUE,TRUE
6,0.429280397,1.014888337,2.136476427,TRUE,TRUE
7,0.461538462,1.374689826,3.255583127,TRUE,TRUE
8,0.364764268,0.910669975,2.049627792,TRUE,TRUE
9,0.339950372,0.632754342,0.987593052,TRUE,TRUE
10,0.369727047,0.53101737,0.759305211,TRUE,TRUE
11,0.387096774,0.496277916,0.622828784,TRUE,TRUE
12,0.406947891,0.496277916,0.598014888,TRUE,TRUE
13,0.434243176,0.496277916,0.565756824,TRUE,TRUE
14,0.382133995,0.439205955,0.498759305,TRUE,TRUE
15,0.473945409,0.563275434,0.642679901,TRUE,TRUE
16,0.58560794,0.692307692,0.82133995,TRUE,TRUE
17,0.665012407,0.754342432,0.858560794,TRUE,TRUE
18,0.759305211,0.816377171,0.908188586,TRUE,TRUE
19,0.868486352,0.94044665,1.034739454,TRUE,TRUE
20,0.960297767,1.044665012,1.141439206,TRUE,TRUE
21,1.042183623,1.126550868,1.2382134,TRUE,TRUE
22,1.062034739,1.161290323,1.282878412,TRUE,TRUE
23,1.161290323,1.270471464,1.399503722,TRUE,TRUE
24,1.218362283,1.359801489,1.511166253,TRUE,TRUE
25,1.166253102,1.344913151,1.508684864,TRUE,TRUE
26,1.243176179,1.40942928,1.593052109,TRUE,TRUE
27,1.230769231,1.406947891,1.59057072,TRUE,TRUE
28,1.210918114,1.384615385,1.568238213,TRUE,TRUE
29,1.253101737,1.424317618,1.595533499,TRUE,TRUE
30,1.277915633,1.451612903,1.632754342,TRUE,TRUE
31,1.198511166,1.369727047,1.565756824,TRUE,TRUE
32,1.094292804,1.243176179,1.419354839,TRUE,TRUE
33,1.066997519,1.188585608,1.325062035,TRUE,TRUE
34,1.047146402,1.151364764,1.263027295,TRUE,TRUE
35,1.017369727,1.089330025,1.186104218,TRUE,TRUE
36,0.848635236,0.913151365,0.982630273,TRUE,TRUE
37,0.714640199,0.7617866,0.806451613,TRUE,TRUE
38,0.657568238,0.70471464,0.754342432,TRUE,TRUE
39,0.674937965,0.719602978,0.76674938,TRUE,TRUE
40,0.58560794,0.64516129,0.702233251,TRUE,TRUE
41,0.560794045,0.630272953,0.682382134,TRUE,TRUE
42,0.558312655,0.620347395,0.697270471,TRUE,TRUE
43,0.617866005,0.684863524,0.784119107,TRUE,TRUE
44,0.682382134,0.751861042,0.843672457,TRUE,TRUE
45,0.70471464,0.774193548,0.853598015,TRUE,TRUE
46,0.727047146,0.786600496,0.856079404,TRUE,TRUE
47,0.806451613,0.861042184,0.930521092,TRUE,TRUE
48,0.801488834,0.856079404,0.915632754,TRUE,TRUE
49,0.853598015,0.913151365,0.967741935,TRUE,TRUE
