day,n,a,b,c,d,e
01/06/2020,1,0.641086749,0.887030034,1.188269309,TRUE,TRUE
02/06/2020,2,0.490943756,0.720686368,0.986653956,TRUE,TRUE
03/06/2020,3,0.368922784,0.57435653,0.827459957,TRUE,TRUE
04/06/2020,4,0.355644832,0.572518044,0.832760662,TRUE,TRUE
05/06/2020,5,0.350878388,0.571088111,0.853743492,TRUE,TRUE
06/06/2020,6,0.318958925,0.551084759,0.844221079,TRUE,TRUE
07/06/2020,7,0.374223489,0.638274023,0.978131973,TRUE,TRUE
08/06/2020,8,0.310845494,0.56585026,0.903314512,TRUE,TRUE
09/06/2020,9,0.354639164,0.625373197,0.990006181,TRUE,TRUE
10/06/2020,10,0.386595292,0.68782933,1.072491855,TRUE,TRUE
11/06/2020,11,0.516226862,0.874181586,1.309363182,TRUE,TRUE
12/06/2020,12,0.673624278,1.085926942,1.598324935,TRUE,TRUE
13/06/2020,13,0.728448863,1.164101866,1.693177176,TRUE,TRUE
14/06/2020,14,0.789003656,1.228469814,1.780900701,TRUE,TRUE
15/06/2020,15,0.788087032,1.232319635,1.771409715,TRUE,TRUE
16/06/2020,16,0.849155135,1.294351502,1.83247258,TRUE,TRUE
17/06/2020,17,0.841984517,1.265250003,1.774777653,TRUE,TRUE
18/06/2020,18,0.715705172,1.09463225,1.542196126,TRUE,TRUE
19/06/2020,19,0.599424884,0.917341476,1.311521177,TRUE,TRUE
20/06/2020,20,0.547004473,0.862543081,1.258645073,TRUE,TRUE
21/06/2020,21,0.509354802,0.818220388,1.205255659,TRUE,TRUE
22/06/2020,22,0.454577358,0.758199855,1.119019684,TRUE,TRUE
23/06/2020,23,0.435040174,0.734849517,1.109973916,TRUE,TRUE
24/06/2020,24,0.424611613,0.725374244,1.109554887,TRUE,TRUE
25/06/2020,25,0.315444327,0.596187892,0.946516305,TRUE,TRUE
26/06/2020,26,0.36266879,0.661042961,1.039996229,TRUE,TRUE
