,n,a,b,c,d,e,,,,,
20/03/2020,1,1.837579618,2.066878981,2.312101911,TRUE,TRUE,,,,,
21/03/2020,2,1.843949045,1.961783439,2.085987261,TRUE,TRUE,,,,,
22/03/2020,3,1.828025478,2.098726115,2.372611465,TRUE,TRUE,,,,,
23/03/2020,4,1.643312102,1.734076433,1.824840764,TRUE,TRUE,,,,,
24/03/2020,5,1.426751592,1.50955414,1.589171975,TRUE,TRUE,,,,,
25/03/2020,6,1.366242038,1.452229299,1.547770701,TRUE,TRUE,,,,,
26/03/2020,7,1.359872611,1.452229299,1.541401274,TRUE,TRUE,,,,,
27/03/2020,8,1.386942675,1.472929936,1.557324841,TRUE,TRUE,,,,,
28/03/2020,9,1.394904459,1.47133758,1.554140127,TRUE,TRUE,,,,,
29/03/2020,10,1.363057325,1.439490446,1.512738854,TRUE,TRUE,,,,,
30/03/2020,11,1.280254777,1.337579618,1.398089172,TRUE,TRUE,,,,,
31/03/2020,12,1.229299363,1.286624204,1.347133758,TRUE,TRUE,,,,,
01/04/2020,13,1.181528662,1.246815287,1.305732484,TRUE,TRUE,,,,,
02/04/2020,14,1.073248408,1.117834395,1.162420382,TRUE,TRUE,,,,,
03/04/2020,15,1.035031847,1.089171975,1.140127389,TRUE,TRUE,,,,,
04/04/2020,16,1,1.047770701,1.098726115,TRUE,TRUE,,,,,
05/04/2020,17,0.955414013,0.996815287,1.044585987,TRUE,TRUE,,,,,
06/04/2020,18,0.964968153,1.022292994,1.076433121,TRUE,TRUE,,,,,
07/04/2020,19,0.977707006,1.025477707,1.082802548,TRUE,TRUE,,,,,
08/04/2020,20,0.97133758,1.012738854,1.060509554,TRUE,TRUE,,,,,
09/04/2020,21,0.949044586,0.993630573,1.038216561,TRUE,TRUE,,,,,
10/04/2020,22,0.958598726,1.006369427,1.050955414,TRUE,TRUE,,,,,
11/04/2020,23,1.003184713,1.054140127,1.108280255,TRUE,TRUE,,,,,
12/04/2020,24,1.057324841,1.114649682,1.175159236,TRUE,TRUE,,,,,
