,,,,,n,lower,mean,upper,,,,,,day,lower,mean,upper
1,1.853211009,,19/03/2020,19/03/2020,1,1.853211009,2.070773263,2.305373526,1.852555701,2.0491481,2.256225426,,,19/03/2020,1.852555701,2.0491481,2.256225426
1,2.305373526,,,20/03/2020,2,1.851900393,2.027522936,2.207077326,,,,,,20/03/2020,1.849279161,2.005242464,2.167103539
1,2.070773263,,20/03/2020,21/03/2020,3,1.850589777,1.975098296,2.094364351,1.849279161,2.005242464,2.167103539,,,21/03/2020,1.802752294,2.005897772,2.247706422
2,2.027522936,,,22/03/2020,4,1.847968545,2.035386632,2.239842726,,,,,,22/03/2020,1.606159895,1.680209699,1.760157274
2,2.207077326,,21/03/2020,23/03/2020,5,1.844036697,2.083879423,2.382699869,1.802752294,2.005897772,2.247706422,,,23/03/2020,1.420707733,1.49672346,1.577981651
2,1.851900393,,,24/03/2020,6,1.76146789,1.927916121,2.112712975,,,,,,24/03/2020,1.374836173,1.45740498,1.541939712
3,1.975098296,,22/03/2020,25/03/2020,7,1.655307995,1.731323722,1.815203145,1.606159895,1.680209699,1.760157274,,,25/03/2020,1.377457405,1.45740498,1.545216252
3.034482759,2.094364351,,,26/03/2020,8,1.557011796,1.629095675,1.705111402,,,,,,26/03/2020,1.394495413,1.475098296,1.557667104
3.137931034,1.850589777,,23/03/2020,27/03/2020,9,1.433813893,1.511140236,1.588466579,1.420707733,1.49672346,1.577981651,,,27/03/2020,1.389252949,1.465923984,1.543905636
4.137931034,2.239842726,,,28/03/2020,10,1.407601573,1.482306684,1.567496723,,,,,,28/03/2020,1.353866317,1.417431193,1.488859764
4.137931034,2.035386632,,24/03/2020,29/03/2020,11,1.376146789,1.460026212,1.54259502,1.374836173,1.45740498,1.541939712,,,29/03/2020,1.273918742,1.328309305,1.386631717
4.137931034,1.847968545,,,30/03/2020,12,1.373525557,1.454783748,1.541284404,,,,,,30/03/2020,1.22542595,1.280471822,1.342070773
5.103448276,2.382699869,,25/03/2020,31/03/2020,13,1.372214941,1.452162516,1.539973788,1.377457405,1.45740498,1.545216252,,,31/03/2020,1.166448231,1.214285714,1.27457405
5.137931034,2.083879423,,,01/04/2020,14,1.382699869,1.462647444,1.550458716,,,,,,01/04/2020,1.070117955,1.112712975,1.157929227
5.24137931,1.844036697,,26/03/2020,02/04/2020,15,1.394495413,1.474442988,1.558322412,1.394495413,1.475098296,1.557667104,,,02/04/2020,1.033420708,1.080602883,1.130406291
6.206896552,2.112712975,,,03/04/2020,16,1.394495413,1.475753604,1.557011796,,,,,,03/04/2020,0.996068152,1.038663172,1.085845347
6.206896552,1.927916121,,27/03/2020,04/04/2020,17,1.394495413,1.474442988,1.553079948,1.389252949,1.465923984,1.543905636,,,04/04/2020,0.964613368,1.007208388,1.051769332
6.24137931,1.76146789,,,05/04/2020,18,1.384010485,1.45740498,1.534731324,,,,,,05/04/2020,0.97378768,1.024901704,1.077981651
7.344827586,1.815203145,,28/03/2020,06/04/2020,19,1.372214941,1.441677588,1.5163827,1.353866317,1.417431193,1.488859764,,,06/04/2020,0.98034076,1.02621232,1.077326343
7.379310345,1.731323722,,,07/04/2020,20,1.335517693,1.393184797,1.461336828,,,,,,07/04/2020,0.9672346,1.011795544,1.056356488
7.379310345,1.655307995,,29/03/2020,08/04/2020,21,1.285714286,1.339449541,1.398427261,1.273918742,1.328309305,1.386631717,,,08/04/2020,0.95740498,1.00163827,1.04587156
8.344827586,1.629095675,,,09/04/2020,22,1.262123198,1.317169069,1.374836173,,,,,,09/04/2020,0.977719528,1.020969856,1.070117955
8.344827586,1.557011796,,30/03/2020,10/04/2020,23,1.235910878,1.29095675,1.351245085,1.22542595,1.280471822,1.342070773,,,10/04/2020,1.024901704,1.072739187,1.127785059
8.379310345,1.705111402,,,11/04/2020,24,1.214941022,1.269986894,1.332896461,,,,,,11/04/2020,1.069462647,1.120576671,1.180865007
9.482758621,1.433813893,,31/03/2020,12/04/2020,25,1.191349934,1.24508519,1.311926606,1.166448231,1.214285714,1.27457405,,,12/04/2020,1.093709043,1.140235911,1.19593709
9.482758621,1.511140236,,,13/04/2020,26,1.141546527,1.183486239,1.237221494,,,,,,13/04/2020,1.104193971,1.152359109,1.203800786
9.482758621,1.588466579,,01/04/2020,14/04/2020,27,1.078636959,1.119266055,1.163826999,1.070117955,1.112712975,1.157929227,,,14/04/2020,1.096985583,1.144167759,1.197247706
10.4137931,1.407601573,,,15/04/2020,28,1.061598952,1.106159895,1.152031455,,,,,,15/04/2020,1.060943644,1.100262123,1.146133683
10.44827586,1.567496723,,02/04/2020,16/04/2020,29,1.040629096,1.089121887,1.140235911,1.033420708,1.080602883,1.130406291,,,16/04/2020,1.037352556,1.075360419,1.122542595
10.44827586,1.482306684,,,17/04/2020,30,1.02621232,1.072083879,1.120576671,,,,,,17/04/2020,1.04259502,1.085845347,1.134993447
11.55172414,1.54259502,,03/04/2020,18/04/2020,31,1.007863696,1.049803408,1.098296199,0.996068152,1.038663172,1.085845347,,,18/04/2020,1.030144168,1.072083879,1.119266055
11.55172414,1.376146789,,,19/04/2020,32,0.984272608,1.027522936,1.073394495,,,,,,19/04/2020,0.991480996,1.026867628,1.067496723
