country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,09/03/2020,1.890013189,2.017719032,1.768146421
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,10/03/2020,1.832388527,1.948775225,1.720911764
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,11/03/2020,1.766319345,1.872456341,1.663520339
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,12/03/2020,1.712564748,1.809523772,1.617318692
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,13/03/2020,1.650708715,1.740558271,1.563208356
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,14/03/2020,1.590962652,1.673525258,1.510293736
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,15/03/2020,1.530249927,1.606542926,1.455931908
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,16/03/2020,1.469692742,1.541495425,1.399764817
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,17/03/2020,1.398699857,1.465161811,1.333908682
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,18/03/2020,1.327856657,1.390079188,1.267039715
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,19/03/2020,1.259609834,1.318279888,1.202257349
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,20/03/2020,1.193114216,1.248181719,1.139272375
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,21/03/2020,1.121627334,1.173574147,1.070903383
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,22/03/2020,1.057628819,1.10709763,1.009275486
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,23/03/2020,0.98013235,1.026852584,0.934485295
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,24/03/2020,0.911780411,0.956729455,0.867935006
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,25/03/2020,0.845263574,0.888494607,0.803323458
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,26/03/2020,0.785349717,0.827153296,0.744615609
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,27/03/2020,0.739524398,0.780794896,0.699359514
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,28/03/2020,0.709523409,0.750851022,0.669386499
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,29/03/2020,0.683696884,0.725403051,0.643255574
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,30/03/2020,0.666755705,0.709259917,0.625616963
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,31/03/2020,0.646926343,0.690374109,0.604871886
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,01/04/2020,0.635046377,0.680077421,0.591596704
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,02/04/2020,0.642245391,0.689111744,0.59700766
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,03/04/2020,0.651631721,0.70087104,0.604162099
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,04/04/2020,0.667117517,0.719493818,0.616694452
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,05/04/2020,0.672685016,0.728294466,0.619647566
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,06/04/2020,0.676109294,0.733903156,0.620684944
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,07/04/2020,0.665931326,0.725645537,0.608747432
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,08/04/2020,0.644550862,0.705553809,0.58627003
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,09/04/2020,0.611441564,0.673289457,0.552658619
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,10/04/2020,0.588552112,0.652178509,0.52814945
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,11/04/2020,0.57663147,0.642728578,0.514074274
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,12/04/2020,0.570672968,0.639658558,0.505379822
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,13/04/2020,0.579167107,0.652093053,0.509928203
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,14/04/2020,0.595240424,0.674026121,0.521449734
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,15/04/2020,0.61405097,0.697748411,0.535112893
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,16/04/2020,0.63952478,0.729986465,0.554887388
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,17/04/2020,0.662746353,0.759853438,0.572421289
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,18/04/2020,0.697882103,0.802634019,0.600381943
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,19/04/2020,0.742573091,0.854419867,0.637608435
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,20/04/2020,0.77950142,0.898624633,0.668478002
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,21/04/2020,0.813471067,0.940231527,0.69602436
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,22/04/2020,0.839900399,0.972851165,0.716464309
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,23/04/2020,0.832312791,0.968443591,0.707440861
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,24/04/2020,0.828349418,0.969423011,0.697709597
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,25/04/2020,0.815517286,0.95425196,0.68754374
