country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.862302136441408,1.9889560257323682,1.7404073875911878
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.8133929585163893,1.9293029683433804,1.7011690748886008
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.7599009045718037,1.8655321983279478,1.6571698830165882
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.7106348897795796,1.8083614644498132,1.6162464484735422
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,1.6552848546226087,1.7445815098386346,1.5679663837716533
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.600936821867936,1.6842724887551042,1.5196833858744312
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.540210351410423,1.617346658165525,1.4649335074026602
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.4781244328405674,1.5503030947512797,1.4075326456737276
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.3981768239467867,1.4649420681277263,1.3328206535108347
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.3282690362696494,1.3900689366087078,1.2678816114954121
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2613286017173002,1.319566175006857,1.2044927625345256
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.193995705519503,1.24885613966421,1.140350951126769
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.120305401510878,1.17200798059019,1.0697565643002145
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.0490445961621113,1.098147467636103,1.0010497489302592
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,0.979373080832645,1.0261738525966482,0.9336499702413817
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9101850076410727,0.9551258972714275,0.8663941045101737
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,0.8459569051203746,0.8892358369520532,0.8038346873645257
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,0.7902377093455467,0.8324323864785942,0.7491257865406367
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,0.7432622332152414,0.7844840460726279,0.703151125586037
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7100744966237067,0.751513558253906,0.6698366639322065
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.6820864034893271,0.7237241967227857,0.6416657635764444
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.6630672457222762,0.7054280287566794,0.6220006720104614
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.6457369873100398,0.6893198164921559,0.6035585217081774
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.640584095193457,0.6853959887367245,0.5969026235305934
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.6451563358930898,0.6924111442958789,0.5994984291689891
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.6593790033825562,0.7090962819430008,0.6110148760569483
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6699452889705451,0.7223382245823853,0.619498871956381
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6820728170688897,0.7376094302481906,0.6288621505607107
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.6757140270299562,0.7333026981995007,0.6204111570433866
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.6609629921812641,0.7202938714887239,0.6040099205606486
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,0.6341702376138272,0.6947093703094388,0.5763783252573096
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,0.604644525055549,0.6659092189767037,0.5462976816844924
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.5844653521312857,0.6477779298301494,0.524339721975563
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.5653351447804684,0.6300908684865331,0.504045326628922
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.5717708234512293,0.6413809209877832,0.506639381254838
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.5833853645852667,0.6566881296508937,0.514364777534183
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.5986761680678072,0.6772643971585613,0.5248724006612635
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.6165577258945572,0.7012029029070741,0.5368605884928627
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.6432763624210185,0.7335178005182297,0.5585035186160087
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.669130694888773,0.7665144307907114,0.5782787131666702
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.7017853337670259,0.8066025236682461,0.6045345320161445
Austria,Austria,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.7497244992132938,0.8628674756259325,0.644054643800192
