country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-03,3.9362349852967173,6.328738301782693,2.119917376397018
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-04,4.064212491648201,6.141354042002061,2.3723329352821976
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-05,3.6953780430704053,5.348603664617802,2.352030148771499
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-06,3.245241709131686,4.520713385432199,2.1814223482723913
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-07,2.9039381387518866,3.8720716217697695,2.0369598436910614
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-08,2.6260128467501307,3.476890387319802,1.89621807078041
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-09,2.3914349056237123,3.0888315373006945,1.789927110846468
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-10,2.2069962862572376,2.7815901501319438,1.683918975676054
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-11,2.0269032843040318,2.548123076095811,1.5849584549180513
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-12,1.9044917494920774,2.3519122051680146,1.5032098691791609
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-13,1.7860606084601576,2.1868122929028844,1.4239338658615313
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-14,1.6704791206960767,2.030010286202675,1.345468798485016
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-15,1.5672723879582766,1.889764286875961,1.2658514890153383
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-16,1.4695365554858537,1.7715306876092207,1.1995528948498968
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-17,1.38670844914462,1.6638705068001551,1.1378225728434956
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-18,1.3114514968659499,1.5725508521929101,1.0838038276386082
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2488525942034454,1.4889515271831852,1.0290871695554598
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-20,1.187301459278749,1.4182757674888455,0.9800967735503505
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-21,1.142752199573867,1.3630171279881953,0.942272907045887
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-22,1.1046917892425692,1.3146712879198126,0.9114870597513213
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-23,1.0637374146227432,1.267083919707993,0.8783618248351024
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-24,1.0315865154386683,1.2302361459282507,0.8496679334931341
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-25,0.9997298207590353,1.1940937407542167,0.8226016809468008
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9641468252501455,1.153028145391479,0.7911173290847424
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-27,0.9169515409137208,1.1008039197406612,0.7496901063797612
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8687999298795706,1.0479067432064733,0.705779789356117
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8259141387317354,1.0031012931512,0.6646465006322694
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-30,0.7858736541411621,0.9552331290444813,0.6286165008610088
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-31,0.7516902470268465,0.9282834842723147,0.5974242617776561
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-04-01,0.73197649926559,0.907262129574631,0.5750979037593322
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-04-02,0.7156138396733397,0.8949230296773022,0.5567990592453564
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-04-03,0.7024375841135632,0.887425113759697,0.5388277907713145
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6934951297080473,0.8841929017386165,0.5243778954587008
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6897103178433797,0.8830017198370474,0.5164592237794294
