n,a,b,c,d,e
1,1.960556845,2.547563805,3.185614849,TRUE,TRUE
2,1.886310905,2.387470998,2.937354988,TRUE,TRUE
3,1.877030162,2.290023202,2.758700696,TRUE,TRUE
4,1.995359629,2.366589327,2.786542923,TRUE,TRUE
5,2.185614849,2.533642691,2.88863109,TRUE,TRUE
6,1.965197216,2.245939675,2.549883991,TRUE,TRUE
7,2.060324826,2.317865429,2.582366589,TRUE,TRUE
8,2.064965197,2.292343387,2.524361949,TRUE,TRUE
9,1.960556845,2.150812065,2.357308585,TRUE,TRUE
10,1.958236659,2.129930394,2.313225058,TRUE,TRUE
11,1.969837587,2.129930394,2.292343387,TRUE,TRUE
12,1.946635731,2.09512761,2.24361949,TRUE,TRUE
13,1.893271462,2.023201856,2.157772622,TRUE,TRUE
14,1.812064965,1.92575406,2.039443155,TRUE,TRUE
15,1.705336427,1.800464037,1.907192575,TRUE,TRUE
16,1.568445476,1.656612529,1.751740139,TRUE,TRUE
17,1.475638051,1.559164733,1.628770302,TRUE,TRUE
18,1.403712297,1.487238979,1.545243619,TRUE,TRUE
19,1.348027842,1.426914153,1.49187935,TRUE,TRUE
20,1.334106729,1.399071926,1.461716937,TRUE,TRUE
21,1.403712297,1.466357309,1.524361949,TRUE,TRUE
22,1.357308585,1.415313225,1.482598608,TRUE,TRUE
23,1.317865429,1.382830626,1.440835267,TRUE,TRUE
24,1.310904872,1.361948956,1.426914153,TRUE,TRUE
25,1.276102088,1.324825986,1.387470998,TRUE,TRUE
26,1.24361949,1.299303944,1.348027842,TRUE,TRUE
27,1.24361949,1.290023202,1.348027842,TRUE,TRUE
28,1.241299304,1.290023202,1.348027842,TRUE,TRUE
29,1.271461717,1.3225058,1.361948956,TRUE,TRUE
30,1.327146172,1.364269142,1.419953596,TRUE,TRUE
31,1.334106729,1.385150812,1.424593968,TRUE,TRUE
32,1.276102088,1.3225058,1.366589327,TRUE,TRUE
33,1.285382831,1.331786543,1.378190255,TRUE,TRUE
34,1.294663573,1.341067285,1.378190255,TRUE,TRUE
35,1.285382831,1.3225058,1.366589327,TRUE,TRUE
36,1.308584687,1.350348028,1.389791183,TRUE,TRUE
37,1.380510441,1.422273782,1.466357309,TRUE,TRUE
38,1.436194896,1.477958237,1.517401392,TRUE,TRUE
39,1.466357309,1.50812065,1.547563805,TRUE,TRUE
40,1.494199536,1.533642691,1.563805104,TRUE,TRUE
41,1.482598608,1.519721578,1.563805104,TRUE,TRUE
42,1.526682135,1.568445476,1.614849188,TRUE,TRUE
43,1.535962877,1.580046404,1.617169374,TRUE,TRUE
44,1.535962877,1.570765661,1.605568445,TRUE,TRUE
45,1.531322506,1.559164733,1.596287703,TRUE,TRUE
46,1.522041763,1.549883991,1.587006961,TRUE,TRUE
47,1.510440835,1.535962877,1.561484919,TRUE,TRUE
48,1.484918794,1.517401392,1.549883991,TRUE,TRUE
49,1.482598608,1.50812065,1.531322506,TRUE,TRUE
50,1.50812065,1.519721578,1.552204176,TRUE,TRUE
51,1.515081206,1.538283063,1.561484919,TRUE,TRUE
52,1.512761021,1.547563805,1.573085847,TRUE,TRUE
53,1.554824561,1.581140351,1.609649123,TRUE,TRUE
54,1.578947368,1.601973684,1.620614035,TRUE,TRUE
55,1.608552632,1.627192982,1.646929825,TRUE,TRUE
56,1.674342105,1.701754386,1.729166667,TRUE,TRUE
57,1.721491228,1.75,1.771929825,TRUE,TRUE
58,1.707236842,1.739035088,1.76754386,TRUE,TRUE
59,1.6875,1.709429825,1.731359649,TRUE,TRUE
60,1.610745614,1.628289474,1.645833333,TRUE,TRUE
61,1.51754386,1.541666667,1.563596491,TRUE,TRUE
62,1.470394737,1.486842105,1.503289474,TRUE,TRUE
63,1.424342105,1.445175439,1.467105263,TRUE,TRUE
64,1.447368421,1.464912281,1.490131579,TRUE,TRUE
65,1.44627193,1.470394737,1.492324561,TRUE,TRUE
66,1.422149123,1.439692982,1.452850877,TRUE,TRUE
67,1.399122807,1.415570175,1.432017544,TRUE,TRUE
68,1.380482456,1.393640351,1.410087719,TRUE,TRUE
69,1.36622807,1.382675439,1.400219298,TRUE,TRUE
70,1.377192982,1.393640351,1.408991228,TRUE,TRUE
71,1.391447368,1.406798246,1.421052632,TRUE,TRUE
72,1.398026316,1.416666667,1.434210526,TRUE,TRUE
73,1.400219298,1.416666667,1.433114035,TRUE,TRUE
74,1.395833333,1.407894737,1.421052632,TRUE,TRUE
75,1.381578947,1.394736842,1.408991228,TRUE,TRUE
76,1.348684211,1.36622807,1.38377193,TRUE,TRUE
77,1.317982456,1.332236842,1.344298246,TRUE,TRUE
