day-7,day-5,n,Index,tstart,tend1,tend2,Calculus Day,lower,mean,upper
16/02/2020,18/02/2020,1,1,2,8,6,23/02/2020,1.391452991,2.217948718,3.246153846
17/02/2020,19/02/2020,2,2,3,9,7,24/02/2020,1.217094017,1.895726496,2.72991453
18/02/2020,20/02/2020,3,3,4,10,8,25/02/2020,1.352136752,1.994871795,2.724786325
19/02/2020,21/02/2020,4,4,5,11,9,26/02/2020,2.336752137,1.690598291,3.051282051
20/02/2020,22/02/2020,5,5,6,12,10,27/02/2020,2.014529915,1.528205128,2.569230769
21/02/2020,23/02/2020,6,6,7,13,11,28/02/2020,1.951282051,1.52991453,2.418803419
22/02/2020,24/02/2020,7,7,8,14,12,29/02/2020,1.41025641,1.774358974,2.184615385
23/02/2020,25/02/2020,8,8,9,15,13,01/03/2020,1.594871795,1.941880342,2.32991453
24/02/2020,26/02/2020,9,9,10,16,14,02/03/2020,1.692307692,2.000854701,2.339031339
25/02/2020,27/02/2020,10,10,11,17,15,03/03/2020,1.55042735,1.803418803,2.078632479
26/02/2020,28/02/2020,11,11,12,18,16,04/03/2020,1.44957265,1.652136752,1.876923077
27/02/2020,29/02/2020,12,12,13,19,17,05/03/2020,1.382905983,1.582051282,1.793162393
28/02/2020,01/03/2020,13,13,14,20,18,06/03/2020,1.328205128,1.512820513,1.707692308
29/02/2020,02/03/2020,14,14,15,21,19,07/03/2020,1.504273504,1.661538462,1.860683761
01/03/2020,03/03/2020,15,15,16,22,20,08/03/2020,1.447008547,1.600854701,1.767521368
02/03/2020,04/03/2020,16,16,17,23,21,09/03/2020,1.708547009,1.558974359,1.870940171
03/03/2020,05/03/2020,17,17,18,24,22,10/03/2020,1.709401709,1.847863248,2.000854701
04/03/2020,06/03/2020,18,18,19,25,23,11/03/2020,1.671794872,1.803418803,1.938461538
05/03/2020,07/03/2020,19,19,20,26,24,12/03/2020,1.71965812,1.822222222,1.935042735
06/03/2020,08/03/2020,20,20,21,27,25,13/03/2020,1.788034188,1.875213675,1.986324786
07/03/2020,09/03/2020,21,21,22,28,26,14/03/2020,1.745299145,1.832478632,1.926495726
08/03/2020,10/03/2020,22,22,23,29,27,15/03/2020,1.747008547,1.827350427,1.911111111
09/03/2020,11/03/2020,23,23,24,30,28,16/03/2020,1.700854701,1.777777778,1.841025641
10/03/2020,12/03/2020,24,24,25,31,29,17/03/2020,1.617094017,1.685470085,1.755555556
11/03/2020,13/03/2020,25,25,26,32,30,18/03/2020,1.584615385,1.655555556,1.714529915
