Data,Localizacao,Suspeitos,Confirmados,Internados,Intensivos,Recuperados,Mortes,AS,Confirmados_var
22/01/2020,Alemanha,0,0,0,0,0,0,0,0
23/01/2020,Alemanha,0,0,0,0,0,0,0,0
24/01/2020,Alemanha,0,0,0,0,0,0,0,0
25/01/2020,Alemanha,0,0,0,0,0,0,0,0
26/01/2020,Alemanha,0,0,0,0,0,0,0,0
27/01/2020,Alemanha,0,1,0,0,0,0,0,1
28/01/2020,Alemanha,0,4,0,0,0,0,0,3
29/01/2020,Alemanha,0,4,0,0,0,0,0,0
30/01/2020,Alemanha,0,4,0,0,0,0,0,0
31/01/2020,Alemanha,0,5,0,0,0,0,0,1
01/02/2020,Alemanha,0,8,0,0,0,0,0,3
02/02/2020,Alemanha,0,10,0,0,0,0,0,2
03/02/2020,Alemanha,0,12,0,0,0,0,0,2
04/02/2020,Alemanha,0,12,0,0,0,0,0,0
05/02/2020,Alemanha,0,12,0,0,0,0,0,0
06/02/2020,Alemanha,0,12,0,0,0,0,0,0
07/02/2020,Alemanha,0,13,0,0,0,0,0,1
08/02/2020,Alemanha,0,13,0,0,0,0,0,0
09/02/2020,Alemanha,0,14,0,0,0,0,0,1
10/02/2020,Alemanha,0,14,0,0,0,0,0,0
11/02/2020,Alemanha,0,16,0,0,0,0,0,2
12/02/2020,Alemanha,0,16,0,0,0,0,0,0
13/02/2020,Alemanha,0,16,0,0,1,0,0,0
14/02/2020,Alemanha,0,16,0,0,1,0,0,0
15/02/2020,Alemanha,0,16,0,0,1,0,0,0
16/02/2020,Alemanha,0,16,0,0,1,0,0,0
17/02/2020,Alemanha,0,16,0,0,1,0,0,0
18/02/2020,Alemanha,0,16,0,0,12,0,0,0
19/02/2020,Alemanha,0,16,0,0,12,0,0,0
20/02/2020,Alemanha,0,16,0,0,12,0,0,0
21/02/2020,Alemanha,0,16,0,0,14,0,0,0
22/02/2020,Alemanha,0,16,0,0,14,0,0,0
23/02/2020,Alemanha,0,16,0,0,14,0,0,0
24/02/2020,Alemanha,0,16,0,0,14,0,0,0
25/02/2020,Alemanha,0,17,0,0,14,0,0,1
26/02/2020,Alemanha,0,27,0,0,15,0,0,10
27/02/2020,Alemanha,0,46,0,0,16,0,0,19
28/02/2020,Alemanha,0,48,0,0,16,0,0,2
29/02/2020,Alemanha,0,79,0,0,16,0,0,31
01/03/2020,Alemanha,0,130,0,0,16,0,0,51
02/03/2020,Alemanha,0,159,0,0,16,0,0,29
03/03/2020,Alemanha,0,196,0,0,16,0,0,37
04/03/2020,Alemanha,0,262,0,0,16,0,0,66
05/03/2020,Alemanha,0,482,0,0,16,0,0,220
06/03/2020,Alemanha,0,670,0,0,17,0,0,188
07/03/2020,Alemanha,0,799,0,0,18,0,0,129
08/03/2020,Alemanha,0,1040,0,0,18,0,0,241
