Data,Localizacao,Suspeitos,Confirmados,Internados,Intensivos,Recuperados,Mortes,AS,Confirmados_var,Suspeitos_var,Internados_var,Intensivos_var,Recuperados_var,Mortes_var,AS_var
01/01/2020,Portugal,1,0,0,0,0,0,0,0,1,0,0,0,0,0
02/01/2020,Portugal,2,0,0,0,0,0,0,0,1,0,0,0,0,0
03/01/2020,Portugal,3,0,0,0,0,0,0,0,1,0,0,0,0,0
04/01/2020,Portugal,4,0,0,0,0,0,0,0,1,0,0,0,0,0
05/01/2020,Portugal,6,0,0,0,0,0,0,0,2,0,0,0,0,0
06/01/2020,Portugal,7,0,0,0,0,0,0,0,1,0,0,0,0,0
07/01/2020,Portugal,9,0,0,0,0,0,0,0,2,0,0,0,0,0
08/01/2020,Portugal,11,0,0,0,0,0,0,0,2,0,0,0,0,0
09/01/2020,Portugal,12,0,0,0,0,0,0,0,1,0,0,0,0,0
10/01/2020,Portugal,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11/01/2020,Portugal,12,0,0,0,0,0,0,0,0,0,0,0,0,0
12/01/2020,Portugal,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13/01/2020,Portugal,13,0,0,0,0,0,0,0,1,0,0,0,0,0
14/01/2020,Portugal,16,0,0,0,0,0,0,0,3,0,0,0,0,0
15/01/2020,Portugal,19,0,0,0,0,0,0,0,3,0,0,0,0,0
16/01/2020,Portugal,25,0,0,0,0,0,0,0,6,0,0,0,0,0
17/01/2020,Portugal,51,0,0,0,0,0,0,0,26,0,0,0,0,0
18/01/2020,Portugal,59,0,0,0,0,0,0,0,8,0,0,0,0,0
19/01/2020,Portugal,70,0,0,0,0,0,0,0,11,0,0,0,0,0
20/01/2020,Portugal,85,0,0,0,0,0,0,0,15,0,0,0,0,0
21/01/2020,Portugal,85,2,2,0,0,0,0,2,0,2,0,0,0,0
22/01/2020,Portugal,101,4,4,0,0,0,0,2,16,-2,0,0,0,0
23/01/2020,Portugal,117,6,6,0,0,0,81,2,16,0,0,0,0,81
