Data,Localizacao,Suspeitos,Confirmados,Internados,Intensivos,Recuperados,Mortes,AS,Confirmados_var,Suspeitos_var,Internados_var,Intensivos_var,Recuperados_var,Mortes_var,AS_var
31/01/2020,Portugal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
01/02/2020,Portugal,0,2,0,0,0,0,0,1,0,0,0,0,0,0
04/02/2020,Portugal,0,3,0,0,0,0,0,1,0,0,0,0,0,0
05/02/2020,Portugal,0,4,0,0,0,0,0,1,0,0,0,0,0,0
10/02/2020,Portugal,0,6,0,0,0,0,0,2,0,0,0,0,0,0
14/02/2020,Portugal,0,7,0,0,0,0,0,1,0,0,0,0,0,0
16/02/2020,Portugal,0,9,0,0,0,0,0,2,0,0,0,0,0,0
17/02/2020,Portugal,0,11,0,0,0,0,0,2,0,0,0,0,0,0
18/02/2020,Portugal,0,12,0,0,0,0,0,1,0,0,0,0,0,0
20/02/2020,Portugal,0,12,0,0,0,0,0,0,0,0,0,0,0,0
21/02/2020,Portugal,0,12,0,0,0,0,0,0,0,0,0,0,0,0
22/02/2020,Portugal,0,12,0,0,0,0,0,0,0,0,0,0,0,0
23/02/2020,Portugal,0,13,0,0,0,0,0,1,0,0,0,0,0,0
24/02/2020,Portugal,0,16,0,0,0,0,0,3,0,0,0,0,0,0
25/02/2020,Portugal,0,19,0,0,0,0,0,3,0,0,0,0,0,0
26/02/2020,Portugal,0,25,0,0,0,0,0,6,0,0,0,0,0,0
27/02/2020,Portugal,0,51,0,0,0,0,0,26,0,0,0,0,0,0
28/02/2020,Portugal,0,59,0,0,0,0,0,8,0,0,0,0,0,0
29/02/2020,Portugal,0,70,0,0,0,0,0,11,0,0,0,0,0,0
01/03/2020,Portugal,0,85,0,0,0,0,0,15,0,0,0,0,0,0
02/03/2020,Portugal,2,85,2,0,0,0,0,0,2,2,0,0,0,0
03/03/2020,Portugal,4,101,4,0,0,0,0,16,2,-2,0,0,0,0
04/03/2020,Portugal,6,117,6,0,0,0,81,16,2,0,0,0,0,81
05/03/2020,Portugal,9,147,9,0,0,0,213,30,3,9,0,0,0,132
